name,lat,lon,type,osm_type,osm_id
Crosby Park,16.363792,120.644603,attraction,node,311903286
Our Lady of Lourdes Grotto,16.4096033,120.5806145,attraction,node,384119717
Good Shepherd Sisters Convent,16.4223259,120.6261256,attraction,node,384142750
Mine's View Park View Deck,16.4196052,120.6279122,viewpoint,node,677213560
Good Shepherd Convent View Deck,16.4220873,120.6262268,viewpoint,node,1252077236
Lost Cemetery,16.3992622,120.6172399,attraction,node,1252757724
Historical Core,16.3990954,120.6176492,attraction,node,1252873246
PBTS Children's Playground,16.4234277,120.5844088,playground,node,1253191427
P.A.F. Jet Fighter,16.3604192,120.6192574,attraction,node,1254081235
Cadet Circle,16.3715407,120.6276445,attraction,node,1254081285
Air Plane,16.360231,120.6192207,attraction,node,1254081314
PMA,16.3613062,120.62048,museum,node,1254150026
The Grove '55,16.3667474,120.6212785,park,node,1254150058
The Long Gray Line (Graduate's Class Seals),16.3609449,120.6204371,attraction,node,1254150141
Kiosk '55,16.3597406,120.6195868,attraction,node,1254150160
Propeller Blade,16.3609779,120.6202531,attraction,node,1254150287
Matindi '63 Park,16.3666011,120.6223252,attraction,node,1254229874
Tree House - P.M.A.,16.3595121,120.6193842,attraction,node,1254229888
Wishing Well 63,16.3664485,120.6221765,attraction,node,1254229904
Maagap Mini Park,16.363756,120.6206211,park,node,1254229953
Huey Helicopter,16.3602208,120.6193074,attraction,node,1254343688
SM City Baguio Balcony,16.4088895,120.5987765,viewpoint,node,2192298471
Baguio Botanical Garden,16.4147407,120.6135181,theme_park,node,2738973986
Sitio La Presa,16.355514,120.5646641,attraction,node,4375145795
Wood Carvers Village,16.4077551,120.5556234,attraction,node,4391258789
SLU Subdivision Trail Head,16.4496949,120.5519598,garden,node,4686596846
Sundial,16.360841,120.6193803,attraction,node,4693344748
Botanical Garden Sign,16.415011,120.6128778,attraction,node,4703956743
WWII Japanese tunnel,16.4149408,120.6144474,attraction,node,4703956745
Airsoft game yard,16.4125007,120.613679,playground,node,4703956746
Retreat House,16.4040615,120.5863231,attraction,node,4809037125
Quirantes Fun Rides,16.409473,120.596,theme_park,node,5427850921
Valley of Colors,16.4333,120.5971985,attraction,node,6071882871
Museum of Arts and Cultures,16.4177728,120.5975733,museum,node,6101695315
Colors of Stobosa,16.4338458,120.5974401,viewpoint,node,6284089790
Swan Boat,16.4111349,120.5938485,attraction,node,6397869386
Colors of STOBOSA,16.4337627,120.5969639,attraction,node,7026027586
Kidzoona Pop Up!,16.4080765,120.598845,playground,node,7187139236
Wonderpark,16.4159716,120.5962237,amusement_arcade,node,7797982104
SM City Baguio Sky Terrace,16.4090581,120.5986686,attraction,node,7996745356
Kawayanan Eco-Park,16.4221901,120.6150824,attraction,node,8922630974
Round View Deck,16.4322758,120.5753374,viewpoint,node,9579313348
Quantum,16.409682,120.5988188,amusement_arcade,node,9852441112
Bagiuo Country Club Christmas Village,16.4079001,120.6158462,attraction,node,10301012109
Blue Moon Gate,16.4095181,120.5795854,attraction,node,10732622410
Garden Shrine of our Lady of Peace,16.4098133,120.5796517,attraction,node,10732622430
Mirador Peace Memorial,16.4099278,120.5795847,attraction,node,10732622491
Cordillera Heritage Garden,16.4094839,120.5810975,attraction,node,10732622501
Jesus' Apostles Dap-Ayan,16.4088384,120.5799112,attraction,node,10900414575
Holy Family Bell of Healing and Health,16.4085596,120.5797651,attraction,node,10900658646
Blue Moon Gate,16.4098576,120.5795036,attraction,node,10906088588
FantasyWorld,16.4081077,120.598805,playground,node,10992781383
General Emilio Aguinaldo Museum,16.4121765,120.6009042,museum,node,11051147106
Cemetery Of Negativism,16.3995165,120.6170806,attraction,node,11639969789
Presidential Museum,16.4123875,120.6214795,museum,node,12204743012
Quantum,16.4081344,120.5988456,amusement_arcade,node,12249460331
Jeepney stop to Stone Kingdom,16.4136685,120.593515,attraction,node,12568299802
Bayan Park Circle,16.4272357,120.606794,park,node,12709201806
Dragon Treasure Castle,16.4219259,120.566402,attraction,node,12718675927
Admirals Farm Park,16.4419152,120.5543548,park,node,12720832401
Bayan Park Entrance,16.4276561,120.6067582,park,node,12775748590
Cathedral of Our Lady of Atonement,16.4127319,120.5985294,attraction,way,42936372
Museo Kordilyera,16.4057604,120.5977773,museum,way,43615588
Veterans Park,16.4111242,120.5974501,park,way,109232477
Mines View Park,16.4197051,120.6274938,attraction,way,109351462
