name,lat,lon,type,osm_type,osm_id
Fishing Village,10.495381,103.6046228,attraction,node,4263674492
Đài Tưởng Niệm Liệt Sĩ - Nhà Tù Phú Quốc,10.0422794,104.0169475,monument,node,357411246
Suối Tranh,10.1837794,104.0153793,yes,node,357411250
Bao Tang Phu Quoc,10.1928525,103.9674136,museum,node,530845932
Duc Ninh Pepper Farm,10.2100119,103.9850305,attraction,node,1166204872
Nhà Tù Phú Quốc,10.0433355,104.0187062,museum,node,1650640830
Nước Mắm Khải Hoàn,10.2199452,103.9714979,attraction,node,1954274168
Vườn Tiêu Ngọc Hà,10.2113296,103.9834776,attraction,node,1954274170
Ocean View,10.4781141,104.290132,viewpoint,node,2393663971
Pepper Farm,10.3065465,103.9827927,attraction,node,2590497234
Phu Quoc Ridgeback Terrain Raceway,10.2517526,103.9785201,attraction,node,3482735049
Crab Statue,10.4764268,104.2993501,monument,node,3742437950
Sunset Rock,10.4855437,104.2986418,viewpoint,node,4772640619
Floating Seafood Restaurants,10.1817201,104.0523878,attraction,node,5155448723
Pepper farm,10.3276289,103.9552982,attraction,node,5227336425
Ong Rang Garden Resort,10.2705688,103.9271592,attraction,node,5246745123
дикий пляж,10.0881957,103.9863348,attraction,node,6082320085
поворот в Нац.парк,10.3317904,103.9739539,attraction,node,6117199886
Hoàng Mâu PQ,10.1919398,103.994024,attraction,node,6187500387
Little Buddha,10.4854165,104.2996042,monument,node,6205494312
Decoration Of Long Beach Center,10.1911478,103.966663,attraction,node,6356595461
Fausse plage starfish,10.3736782,103.9380437,attraction,node,6359615985
Photo Motifs,10.1507643,103.973782,attraction,node,6361980940
Usine du poivre,10.2137667,103.9900787,attraction,node,6372732789
Bãi Trường Beach,10.1143459,103.9809272,attraction,node,6968353589
Trúc Lâm Hộ Quốc Zen Monastery,10.1105588,104.0283362,attraction,node,7004066885
Snorkeling spot,10.2568503,103.9362179,viewpoint,node,7005393785
Nhun Dun Lich,10.1767105,104.0124741,attraction,node,7111494204
Tiên Sơn Đỉnh,10.1817544,104.0257005,viewpoint,node,7148312785
Start of hike trail to Tiên Sơn Đỉnh summit,10.1757375,104.0265002,attraction,node,7148312985
Buddha Statue,10.4794876,104.2979765,monument,node,8625087353
Tháp Hẹn hò,10.3255252,103.8578929,attraction,node,8679615132
Điểm Tạp Trung Tham Quan Vườn quốc gia Phú Quốc,10.3643268,103.9917269,attraction,node,10736277208
Viewpoint over Kep Beach,10.4791654,104.2962331,viewpoint,node,11054452684
ខ្សែរ៉កលើដើមឈើ,10.4792427,104.2963436,attraction,node,11054470329
Piscine du Grand Ocean Bay.,10.2565008,103.9394008,attraction,node,12339492401
