name,lat,lon,type,osm_type,osm_id
Japanese Garden,16.085651,120.349861,monument,node,820094269
Museo Iloko,16.3233292,120.3667954,museum,node,921111118
Oasis Resort,16.0422932,120.4975075,water_park,node,1866716857
Caba Plaza,16.4310991,120.3447132,theme_park,node,2770190034
Bgy Canaoalan boundary arch,16.0254538,120.2872101,monument,node,4339373669
Coal-fired Steam Locomotive,16.0434585,120.3341858,attraction,node,4353276123
Quezon Zip-line finish,16.2233876,120.0464392,yes,node,4938599322
Governor's Zip-line launch,16.2039762,120.0384125,attraction,node,4938600721
The C-Shells Home and Garden,16.172875,120.0682667,attraction,node,4942109526
Lucap Lighthouse,16.1927574,120.0038849,yes,node,5492732929
Capantolan Welcome Arch,16.1156098,120.0665133,monument,node,5514354736
Macatiw Welcome Arch,16.0968776,120.0066241,monument,node,5517635165
Zip line end,16.2044957,120.0421274,yes,node,5533220452
Small Zip-line end,16.222528,120.0462124,yes,node,5551458486
Small Zip-line start,16.2214112,120.0463653,attraction,node,5551458491
Quezon Zip-line start,16.2249625,120.0489701,attraction,node,5551718950
Welcome to Telbang arch,16.1673753,120.0412773,monument,node,5554030037
Welcome to Sabangan arch,16.1595803,120.0048749,monument,node,5582319326
Welcome to Victoria Arch,16.1677928,120.0650019,monument,node,5940260250
Lingayen Gulf Landing of Gen. Douglas Mc Arthur,16.0760826,120.3350446,monument,node,6068264791
Jose Rizal Monument,16.044317,120.4875852,monument,node,6081642588
Bay Bay Sur Welcome Arch,16.1520664,120.0785739,monument,node,6086682125
Pangascasan Welcome Arch,16.128324,120.0868982,monument,node,6087454711
San fabian resort,16.1189675,120.3832606,attraction,node,6280993786
Zipline end,16.204514,120.0420116,attraction,node,6389599495
Hanging bridge,16.2230043,120.0462563,attraction,node,6389599496
Snorkeling spot,16.223253,120.0509807,attraction,node,6389601786
Cave,16.205577,120.0379744,attraction,node,6389603089
Salt fields,16.1726537,120.0086386,attraction,node,6389604589
Cathedral Cave,16.2251399,120.0506601,attraction,node,6389634485
