name,lat,lon,type,osm_type,osm_id
Pero Beach,-9.6083074,118.9862582,attraction,node,10096913717
Monumen Makam Pahlawan,-9.6269533,119.3877084,monument,node,1665758136
Taman Kota Kaori,-9.6302824,119.4129356,park,node,1666789826
Tempat Pasola,-9.7410705,119.3295542,attraction,node,1672904478
Pantai Waibuku,-9.6835448,119.0389523,attraction,node,6700225385
Nipi Lima,-9.7887501,119.3995106,viewpoint,node,11248166937
Lapopu Waterfall,-9.6789979,119.4927019,attraction,node,11880577471
Hutan Keluarga,-9.5718441,119.4398647,park,way,189795398
Kuburan Islam,-9.6392989,119.4021312,castle,way,282064272
Kubur Batu Gallubakul,-9.6219453,119.5660683,archaeological_site,node,1880272377
Rumah Burung,-9.6513863,119.8152761,zoo,way,194244923
Batu Payung,-9.6409931,120.2796005,viewpoint,node,1689773958
Tugu,-9.7195192,120.0204812,monument,node,2230628294
Patung Kuda,-9.6783393,120.2158102,monument,node,2537609844
Patung Kuda,-9.6788598,120.216077,monument,node,2537609845
Pantai Walakiri,-9.6286074,120.4275101,attraction,node,5042900148
Pantai Kawangu,-9.6650509,120.3324258,attraction,node,5042900149
Pantai Londalima,-9.5924985,120.2293646,attraction,node,5042900150
Air Terjun Tanggendu,-9.5745182,120.0908408,attraction,node,5042900151
Bukit Persaudaraan,-9.6739846,120.2962289,viewpoint,node,5115682803
bukit wairinding,-9.6794624,120.1000531,viewpoint,node,11577616269
kebun jagung,-9.593888,120.0928267,garden,way,156758915
Taman Kota,-9.6532237,120.2666683,park,way,190617692
kebun PKK,-9.7781579,120.0581141,park,way,191661448
Kebun Desa,-9.6707563,120.0079627,park,way,205303038
Bundaran Mamuli,-9.7728136,120.0559353,monument,way,213623238
Pelabuhan Lama,-9.6410895,120.2539758,attraction,way,284833957
Air Terjun Waimarang,-9.9688207,120.6028936,attraction,node,11891364168
Kampung adat Rindi Praiyawang,-9.9358196,120.670191,archaeological_site,relation,7462533
Gereja Kristen Oelbiteno,-9.9260189,123.8455877,museum,node,1694286803
Bonsai Trees,-9.6321435,124.2146462,attraction,node,1612586541
Start Gunung Mutis Track,-9.6102597,124.2238294,attraction,node,1612586568
Old Fort,-9.8333073,124.4127096,attraction,node,1612591096
Gunung Mutis Protectet Forest,-9.6419134,124.2199407,garden,node,1635990930
Silwanus Naimuti,-9.8917095,124.2201615,garden,way,160081370
Silwanus Naimuti,-9.8924124,124.2206522,garden,way,160081371
Kampung Aman (Wisata Mujizat Air menjadi Anggur),-9.8667443,124.2778896,museum,way,730955742
Rumah Adat Keraton Kaberanrai,-9.6500888,124.9208627,museum,way,185027402
Rumah Adat Keraton Kaberanrai,-9.6502584,124.9206768,museum,way,185027409
Setapak Rai Numbei,-9.5607897,124.9242993,park,way,601439530
Lapangan sepakbola umatoosfatuk,-9.6988639,124.8638283,park,way,1221677448
Turtle egg beach (nightly),-9.0821089,116.9783201,attraction,node,5147699521
Laguna Weekuri,-9.4910708,118.9600615,yes,way,129933178
Tugu Bondokapaka,-9.4937844,119.4239189,monument,node,1615889363
AREAL GKS PUU UPO,-9.4240501,119.2532982,common,way,180560443
AREAL KANTOR DESA WEE PANGALI,-9.4282265,119.2645211,common,way,180560444
AREAL SMP SWASTA RANGGA RAME,-9.4273537,119.264224,common,way,180560446
AREAL SDM PUU UPO,-9.4287681,119.2532743,common,way,180560524
AREAL SD INPRES WEE PANGALI,-9.4414432,119.2613265,common,way,180560713
Kampung Adat Wunga,-9.3763392,119.9404451,attraction,way,508272043
Pantai Kambera,-9.4855404,120.1288891,attraction,node,5042900163
Pantai Larodak,-9.3803484,120.0045633,attraction,node,5042900191
Pantai Puru Kambera,-9.4835666,120.1372352,attraction,node,6702917485
Mud Volcanoes,-9.3631712,124.3766481,viewpoint,node,4188634990
Portuguese Fort,-9.2080515,124.3716457,monument,node,4431870404
Ponte mais longa em Timor Leste,-9.2086585,124.3125509,attraction,node,5156089221
Forte,-9.2080399,124.3716129,castle,node,5245318926
City view,-9.2071066,124.370866,viewpoint,node,5245335622
Arrozais,-9.2023629,124.3124076,attraction,node,5534833921
Padrão de Descobrimentos,-9.2004746,124.3211637,attraction,node,5567978021
Berço de Timor Leste,-9.2004857,124.3214636,attraction,node,5567982621
Miradouro,-9.1850953,124.4007358,viewpoint,node,5568149421
Cemitério Santa Cruz,-9.2033481,124.3744014,attraction,node,5792235356
Residência dos Membros da Autoridade RAEAOA,-9.2161259,124.3373048,garden,way,1277958527
Temkessi,-9.3267443,124.7461248,attraction,node,6693977586
Tugu Adipura,-9.1002991,124.8964913,park,node,9970039953
Lapangan Umum Atambua,-9.1042257,124.8977928,park,way,579796904
Taman kota Atambua,-9.104829,124.8984157,park,way,579796905
Stadion Haliwen,-9.0760476,124.9109944,park,way,579796907
