name,lat,lon,type,osm_type,osm_id
ประตูวิเสทชัยศรี (ทางเข้าหลัก),13.7522676,100.4911727,monument,node,269347919
พระบรมราชานุสาวรีย์ สมเด็จพระเจ้าตากสินมหาราช,13.7263148,100.4930973,artwork,node,1114352991
พิพิธภัณฑสถานแห่งชาติพระปฐมเจดีย์,13.8184318,100.0610141,museum,node,1121030565
อนุสาวรีย์พญากง,13.8231304,100.0613104,monument,node,1121782389
อนุสาวรีย์ย่าเหล,13.8190312,100.0459755,monument,node,1123345225
เทวาลัยคเณศร์,13.8196008,100.0454358,monument,node,1123354717
สะพานพระราม 8,13.7696454,100.4958557,attraction,node,1872413363
fun space,13.7676012,100.4419682,viewpoint,node,2114142446
Circle of love (photo point),13.7675441,100.4427392,viewpoint,node,2114142447
take a photo point,13.7671533,100.4424736,viewpoint,node,2114142448
the circle center,13.7672809,100.4425985,viewpoint,node,2114186625
วัดทองสะอาด,13.9817056,100.4360906,attraction,node,2118845863
พระบรมราชานุสาวรีย์พระบาทสมเด็จพระเจ้าอยู่หัวอานันทมหิดล,13.7683156,100.4949808,artwork,node,2129707192
อนุสรณ์สถาน 14 ตุลา 16,13.7568137,100.4991195,monument,node,2337055730
ปฐมบรมราชานุสรณ์,13.7406467,100.4980403,artwork,node,2367434259
พิพิธภัณฑ์การแพทย์ศิริราช,13.7587143,100.4854995,museum,node,2447283108
พระราชวังสนามจันทร์,13.8194742,100.0449305,attraction,node,2661388654
บ้านพิพิธภัณฑ์,13.796878,100.3916765,museum,node,2962507138
พิพิธภัณฑ์หุ่นขี้ผึ้งไทย,13.7728041,100.207538,museum,node,2962510490
Wat Seangsiritham Floating Market,13.9025477,100.4722032,attraction,node,3101484792
ศูนย์ศึกษาธรรมชาติป่าชายเลนอ่าวมหาชัย,13.5025571,100.2704652,attraction,node,3136574004
ลานพระจอม,13.6514977,100.496192,monument,node,3176409880
พิพิธภัณฑ์ธนาคารแห่งประเทศไทย,13.7682842,100.4995365,museum,node,3542061032
หอศิลป์คณะจิตรกรรมประติมากรรมและภาพพิมพ์,13.753234,100.4908389,gallery,node,3568027060
พิพิธภัณฑสถานแห่งชาติศิลป์พีระศรี,13.752666,100.4908979,museum,node,3568027498
็ต้นไม้รูปหัวใจ,13.7527033,100.4898172,park,node,3568027505
พิพิธภัณฑ์จังหวัดนนทบุรี,13.8415556,100.4918477,museum,node,3805457408
My Hömé,13.8225154,100.050929,viewpoint,node,4121543127
อนุสาวรีย์สมเด็จพระนางเจ้าสุนันทากุมารีรัตน์,13.7484049,100.4953406,monument,node,4200510216
Bruth Bund Home Salaya,13.7990782,100.3110549,attraction,node,4255552589
Thai Bamboo Tattoo,13.7274865,100.4990793,attraction,node,4257127190
Viewpoint for stupa,13.8195742,100.0577793,viewpoint,node,4283658189
Khaosan Road,13.7587665,100.4975792,attraction,node,4319285389
วัดบางปลา,13.5852069,100.2315172,monument,node,4346158390
วัดทอง,13.5781435,100.263497,monument,node,4346158393
บ้านครูไก่,13.7494442,100.4026563,attraction,node,4353598389
บ้านครูไก่,13.749249,100.402639,attraction,node,4353601889
วัดเจษฎาราม,13.5514089,100.2944962,attraction,node,4561184891
Windchill Ltd.'s Factory,13.9433512,100.4298564,castle,node,4571108791
วัดพระศรีรัตนศาสดาราม,13.7511447,100.4924096,attraction,node,4824836222
วัดเวฬุวนาราม,13.9633,100.2337719,attraction,node,5017437622
Niyom Orchid Farm,13.748518,100.4113553,yes,node,5024135348
วัดดอนมะโนรา,13.5008793,100.0006478,attraction,node,5093926721
Night market,13.7803335,100.4259239,attraction,node,5248196522
วัดสิงห์,13.8241492,100.4191942,attraction,node,5265310928
ศูนย์การเรียนรู้ทางวัฒนธรรม จังหวัดสมุทรสาคร,13.5449323,100.2731839,museum,node,5281558085
วัดแพรก,13.8146853,100.4067541,attraction,node,5362733473
อุทยานสมเด็จพระปิยะมหาราช รัชกาลที่ 5,13.5305754,100.2643845,park,node,5365205406
พิพิธภัณฑ์บ้านกุฎีจีน,13.7393146,100.4930099,attraction,node,5432919023
พิพิธภัณฑ์ธนาคารออมสิน,13.7569975,100.4983457,museum,node,5940872851
sai tai mai center night market,13.7790745,100.4200165,attraction,node,6069909589
สวนเฉลิมพระเกียรติ,13.650955,100.4957589,park,node,6110941250
สวนสุขภาพ,13.6519289,100.4957174,park,node,6110949758
เรือนไทย,13.7903421,100.3244618,attraction,node,6315289024
วัดภุมรินทร์ราชปักษี,13.764246,100.487832,archaeological_site,node,6475599885
Abandoned spa,13.7684385,100.4817112,attraction,node,6497544385
OH DEER Samutsakhon,13.6596273,100.3102188,park,node,7088134320
Soi Rambuttri,13.7593838,100.4981356,attraction,node,7140353287
บ้านน้าณัฐ,13.648879,100.0215316,attraction,node,7276186685
สวนลอยฟ้าเจ้าพระยา,13.7391046,100.4985819,viewpoint,node,7737340673
ดูบัว คาเฟ่ ฟาร์ม,13.8997105,100.2343725,attraction,node,7967933785
พิพิธภัณฑ์จังหวัดนนทบุรี,13.8415549,100.4918477,museum,node,9026269019
Rampoei Monument,13.8136038,100.4130646,monument,node,9029177254
Poomjai Garden,13.6915168,100.4664538,attraction,node,9502088717
นิยาย,13.7884185,100.4293435,garden,node,9589437517
Agro Tour,13.807954,100.2735955,attraction,node,9791534618
RIVA EATERY & BAR ที่จอดรถ,13.9116393,100.4657519,park,node,9833133425
Lumpini Place,13.7848861,100.4607965,park,node,10776013381
ตำหนักสมเด็จ,13.7688787,100.4994766,castle,node,10891486510
อุทยานการเรียนรู้ ลพชัย-ปทุมมาศ แก่นรัตนะ,13.9112719,100.4973878,museum,node,11104005566
SOM,13.6009045,100.3571528,park,node,11175880431
Aum's Bar and Bistro,13.8338889,100.4634848,park,node,11545148638
สเต็กลุงเชิด ใกล้ วัดมะเกลือ,13.8888176,100.2880494,attraction,node,11675957771
บ้าน อ.เอ.  129  นนทบุรี,13.8557542,100.4722062,attraction,node,11675957870
H,13.9638045,100.4993254,attraction,node,11675959371
จุดชมวิวท่าเตียน,13.7457964,100.4902958,viewpoint,node,11806216522
พิพิธภัณฑ์แสดงว่าวไทย,13.5827146,100.4210477,museum,node,11909545789
หอศิลป์ ณ บ้านเจ้าพระยา,13.7633704,100.4948587,gallery,node,12011861808
ตำหนักพระองค์เจ้าเทวีวิไลยวรรณ,13.7480385,100.4905407,castle,node,12146548812
ตำหนักพระองค์เจ้าสุนทรีนาฏ,13.7480552,100.4907328,castle,node,12146548813
ตำหนักพระองค์เจ้าเฉิดโฉม,13.7480729,100.4909065,castle,node,12146548815
พิพิธภัณฑ์กายวิภาคศาสตร์คองดอน,13.7582031,100.4862081,museum,node,12182702230
พิพิธภัณฑ์ก่อนประวัติศาสตร์ สุด แสงวิเชียร,13.7582291,100.4860851,museum,node,12182702231
พิพิธภัณฑ์พยาธิวิทยาเอลลิส,13.7587712,100.4851085,museum,node,12182702232
พิพิธภัณฑ์นิติเวชศาสตร์ สงกรานต์ นิยมเสน,13.7588636,100.4853071,museum,node,12182702233
พิพิธภัณฑ์การแพทย์แผนไทย อวย เกตุสิงห์,13.7587685,100.4849183,museum,node,12182702234
พิพิธภัณฑ์ปรสิตวิทยา,13.7589152,100.4847728,museum,node,12182702235
MR.THAI Travel,13.7614927,100.4960846,yes,node,12214694470
พระอนุสาวรีย์ กรมหลวงชุมพร,13.7492703,100.4793864,monument,node,12468600835
พิพิธภัณฑ์ธนาคารแห่งประเทศไทย,13.7679769,100.4982932,museum,node,12691410977
GG gatogame กาโต้เกม,13.7966446,100.3118887,amusement_arcade,node,12912107299
วัดอังกุลา,13.7726134,100.4508668,archaeological_site,node,13078187327
วัดสี่บาท,13.6750499,100.4480146,archaeological_site,node,13141226345
วัดอรุณ,13.7438235,100.4884885,attraction,way,23481741
พระบรมมหาราชวัง,13.7495708,100.4917924,attraction,way,23482754
พระศรีรัตนเจดีย์,13.7516182,100.4922873,monument,way,23482988
พระสัมมาสัมพุทธมหาเจดีย์,13.7521043,100.4930582,monument,way,23482991
พระสัทธรรมปริยัติวรมหาเจดีย์,13.751928,100.4930842,monument,way,23482992
พระอริยสงฆ์สาวกมหาเจดีย์,13.7517656,100.4930921,monument,way,23482993
พระอริยสาวิกาภิกษุสังฆมหาเจดีย์,13.7515921,100.4931215,monument,way,23482994
พระปัจเจกโพธิสัมพุทธมหาเจดีย์,13.751439,100.4931577,monument,way,23482995
พระบรมจักรวรรดิราชามหาเจดีย์,13.7512769,100.4931825,monument,way,23482996
พระโพธิสัตว์กฤษฎามหาเจดีย์,13.7511502,100.4932129,monument,way,23482997
พระศรีอริยเมตตะมหาเจดีย์,13.7509834,100.493239,monument,way,23482998
สวนสราญรมย์,13.74858,100.495052,attraction,way,23486019
ถนนข้าวสาร,13.7588844,100.497317,attraction,way,23610119
สนามหลวง,13.7551602,100.4930806,park,way,23630232
พระปฐมบรมราชานุสรณ์เฉลิมพระเกียรติ,13.7411735,100.4982114,park,way,25714940
สวนธนบุรีรมย์,13.6520115,100.4914599,park,way,26576748
ศาลาเครื่องราชอิสริยยศ เครื่องราชอิสริยาภรณ์ และเหรียญกษาปณ์,13.7510087,100.4917303,museum,way,82078207
พระที่นั่งไพศาลทักษิณ,13.7501501,100.4920203,castle,way,82538505
พระที่นั่งดุสิตมหาปราสาท,13.7501601,100.4905116,castle,way,82541999
พิพิธภัณฑ์วัดพระศรีรัตนศาสดาราม,13.7509949,100.4901325,museum,way,82542154
พิพิธภัณฑ์ผ้าในสมเด็จพระนางเจ้าสิริกิติ์ พระบรมราชินีนาถ,13.7520265,100.4907235,museum,way,82542417
พระที่นั่งบรมพิมาน,13.750414,100.4929686,castle,way,82543520
ตำหนักพระองค์เจ้าอัพภันตรีปชาและพระองค์เจ้าทิพยาลังการ,13.7491134,100.4920029,castle,way,82543979
พระตำหนักสมเด็จพระปิตุจฉาเจ้าสุขุมาลมารศรี พระอัครราชเทวี,13.7491052,100.4917851,castle,way,82543980
พระที่นั่งศิวาลัยมหาปราสาท,13.7490628,100.4932641,castle,way,82546665
แถวเต๊งใน,13.7479964,100.4920879,castle,way,88222002
พระราชวังสนามจันทร์,13.8198218,100.04587,park,way,96936815
เซ็นทรัลปาร์คพระราม 2,13.6648847,100.4358205,park,way,97964930
ป้อมพระสุเมรุ,13.7639992,100.4957529,attraction,way,107936513
วัดมหรรณพารามวรวิหาร,13.7546998,100.4993508,attraction,way,118171998
ถนนตะนาว,13.7535121,100.4984481,attraction,way,123950254
วัดราชบพิธสถิตมหาสีมารามราชวรวิหาร,13.7490605,100.4971839,attraction,way,138947464
สวนสาธารณะกัลปพฤกษ์,13.6836186,100.4086918,park,way,142576745
อุทยานเฉลิมกาญจนาภิเษก,13.8503412,100.4816757,attraction,way,164588367
ตำหนักเดิมวังถนนพระอาทิตย์,13.7616268,100.492413,castle,way,169953612
พิพิธภัณฑสถานแห่งชาติ พระนคร,13.758146,100.4915316,museum,way,178329971
ตึกถาวรวัตถุ,13.7542803,100.4916052,museum,way,178329986
