name,lat,lon,type,osm_type,osm_id
Taiei Maru,12.0176,119.9695166,attraction,node,663871190
Calauit Safari Park,12.2781908,119.8836939,attraction,node,3540478286
BioFarm,12.2830849,119.9282816,garden,node,3553318799
Maquinit Hot Spring,12.2010639,119.9134352,attraction,node,3574822704
Rio Playa Beach,12.1530401,119.9182975,attraction,node,4639779291
Tao expedition,12.0083878,119.8714432,attraction,node,5295273421
"Aban, Calauit, Busuanga island",12.3223404,119.9042734,attraction,node,5430177721
Nashin,12.1495372,119.8254378,attraction,node,5527196821
Dugong site,12.3255311,119.9085129,attraction,node,5824825656
Rain radar tower,12.0910911,119.9374868,viewpoint,node,6170491686
Ocam Ocam Beach,12.1959339,119.8650568,attraction,node,6248841186
CALAUIT SAFARI PARK WHARF,12.2637143,119.8874028,attraction,node,6876695186
Salvacion viewdeck,12.1324504,119.9424015,viewpoint,node,7159977485
paladar beach,12.1036762,119.9306173,attraction,node,10109663917
COCOVANA BEACH,12.1000981,119.9304241,attraction,node,11266034969
Rio Playa Resort,12.1527002,119.9189725,water_park,way,245878887
Pass Island,12.0058243,119.9027765,attraction,way,261481203
Children's Park,12.1329546,119.9354242,park,way,335539679
Coron Hilltop Resort,12.020861,120.1869036,hotel,node,1690099204
chapel,12.0297337,120.1143783,attraction,node,4324883890
Kingfisher park,12.0256452,120.1255062,attraction,node,4592025694
Turda Pier (mf),12.0980154,120.3093421,viewpoint,node,5232112422
Juhos viewpoint,12.2316985,120.0496037,viewpoint,node,6218564887
Shallow water. Easy walk to the island,12.228888,120.0491083,attraction,node,6218564888
JP's viewpoint,12.231897,120.0512621,viewpoint,node,6218564889
Johnson island,12.2322122,120.0490681,attraction,node,6218576085
alunat rever,12.0474762,120.2539774,park,node,9462172682
malbucaya,12.0698908,120.268971,park,node,9462172683
Napyetan garden pool,12.0633956,120.3059268,park,node,9465234734
Coron Island,12.0248462,120.2394186,attraction,node,12813334601
Mt. Tapyas Peak Park,12.0048985,120.2048067,park,way,184176447
Demo Farm,12.2808804,120.3657575,garden,way,415180101
Cordaid Demo Farm,12.2719184,120.3657516,garden,way,438353056
Fernvale Middle Park,12.0179276,120.1844931,park,way,541807312
Fernvale River Park,12.0153255,120.1832196,park,way,666840851
Mt. Talapay,12.1309466,120.222022,attraction,way,1008498154
Fernvale South Park,12.0165725,120.1816367,park,relation,9040728
Fernvale River Park,12.0139118,120.1822764,park,relation,9085275
Canitauan Island,12.0003309,120.1910533,yes,relation,10156371
Eskinita,12.347498,121.0687787,attraction,node,4765614823
Orix Metro,12.3515525,121.0641832,viewpoint,node,4765653231
client # 2  diabetic foot,12.3676538,121.3923724,attraction,node,6621670385
Tower 1,12.3523903,121.0655975,viewpoint,node,8208441717
Parisian Hotel near Airport,12.3621944,121.0390935,attraction,node,11701048771
San Jose Municipal Plaza,12.3536265,121.0678636,park,way,131714132
Magsaysay Senior Citizens' Park,12.3114901,121.1461213,park,way,986486737
Magsaysay Town Plaza,12.3115884,121.1471073,park,way,986486780
Old Odiongan Lighthouse,12.4041079,121.9819353,yes,node,534059453
Children's Paradise Playground,12.4003051,121.9818415,playground,node,824317097
Looc Bay,12.25807,121.990294,attraction,node,4113499692
Jose Rizal Monument,12.4000647,121.9818943,monument,node,10992875585
Odiongan Sign,12.3997328,121.9819658,yes,node,10996544624
LP1,12.3879851,121.9858103,attraction,node,11268289969
LP1,12.388221,121.9858357,attraction,node,11268290169
Said Beach,12.0559536,121.9594237,attraction,node,12320520302
Children's Paradise,12.4000319,121.9818967,park,way,537046056
Aladin,12.6618327,120.4166663,attraction,node,2674038368
Barracuda Point,12.6576662,120.4188881,attraction,node,2674038374
Ego Wall,12.6663332,120.4105276,attraction,node,2674038376
Ego Wall,12.667042,120.4080837,attraction,node,2674038377
Jack's Point,12.6594722,120.4441934,attraction,node,2674038379
Mabuti,12.6564163,120.4112491,attraction,node,2674038380
Manta Point,12.6713333,120.4323611,attraction,node,2674038381
Shark Airport,12.6681387,120.4326389,attraction,node,2674038382
Shark Ridge,12.719804,120.4874163,attraction,node,2674038384
South Corner,12.6546944,120.4171666,attraction,node,2674038387
Southeast Corner,12.6554724,120.4181938,attraction,node,2674038388
Prado Point,12.7358912,120.4621146,attraction,node,2674038389
Sablayan Lighthouse Park Zipline Adventure,12.8304052,120.7660848,yes,node,2671173469
Sablayan Old Church,12.8307661,120.7675315,viewpoint,node,2671173471
Spanish Nose,12.8578242,120.7461141,viewpoint,node,4632504413
Wild Lagoon,12.8595991,120.7478299,viewpoint,node,4632504414
Sablayan Hanging Bridge,12.844055,120.7743202,yes,way,203983148
Sablayan Town Plaza,12.8470412,120.7797826,park,way,203985401
Sablayan Museum,12.8473804,120.7793909,museum,way,261515908
Country Woods Resort,12.8150353,120.7865742,water_park,way,412265102
Calintaan Town Plaza,12.5714104,120.9407638,park,way,412285795
Sitio Taugadiit,12.6256759,121.3706383,viewpoint,node,5872866885
Bali Resort and Spa,12.9698414,121.4923849,water_park,node,6404403243
ASK church,12.5522034,121.4545152,attraction,node,6621670191
SOSA-SIGUE FAMILY PARK,12.9093991,121.4637674,park,node,11528242031
Accomodation ABFS,12.5477039,121.004079,attraction,node,11701048577
Bongabong Municipal Park,12.7477013,121.4887996,park,way,714661490
Tonggo Point Beaches,12.9005267,121.7218913,attraction,node,6094862561
Concepcion Rainbow Arc,12.913155,121.7202115,attraction,node,8537971574
Tamaraw Falls,13.45012,120.9911342,attraction,node,1900587093
Upland Rice Site,13.0528035,120.7553411,attraction,node,4353630888
Upland Rice Site,13.0566023,120.7701452,attraction,node,4353635244
Upland Rice Site,13.0566869,120.7700819,attraction,node,4353637887
Upland Rice Site,13.0572051,120.7701245,attraction,node,4353642651
Upland Rice Site,13.0623352,120.7862691,attraction,node,4353658290
Clock tower,13.2213443,120.6070761,attraction,node,4354976394
"Upland Rice Site, Sitio Calomintao, Brgy. Alacaak",13.1613594,120.7395556,attraction,node,4355001690
Virgin beach,13.4773124,120.9709031,attraction,node,5022209922
Ponderosa STP view point,13.4788669,120.9124242,viewpoint,node,5022216221
Kubo,13.2710837,120.5020476,viewpoint,node,5336243521
Cave  Peace / Python Cave,13.4800895,120.9555465,attraction,node,5354209123
Shark Fin Rock,13.2693042,120.5009934,attraction,node,5628809023
Point of view,13.4837208,120.9135239,viewpoint,node,7035453985
beach,13.4759555,120.9714545,attraction,node,9249723418
Pebble Beach,13.4773116,120.9710248,attraction,node,9249735017
Beach,13.4759795,120.9714501,attraction,node,9311796318
Pebble beach,13.4773937,120.9710232,attraction,node,9311796417
Beper Food Park,13.2174715,120.6026205,park,way,446443678
Kaven Resort,13.2089906,120.6118865,water_park,way,458312742
Plaza Illuminada,13.5002118,120.9568569,park,way,1211505100
Lake Naujan,13.2248021,121.3660031,attraction,node,4317704595
Infinity farm,13.339025,121.0441113,attraction,node,4756585322
Jump-off Mt Halcon Trail,13.3312334,121.0472247,attraction,node,5591579121
La Mesang Bato,13.4177208,121.1947994,attraction,node,5610709727
Sun Flower Garden,13.0439107,121.4733209,garden,node,6717715612
Naujan Municipal Plaza,13.3244805,121.3030145,park,way,385947743
Bulusan Nature Park,13.4019744,121.199775,park,way,493823918
Santa Maria Village Plaza,13.4096936,121.1748754,park,way,496456896
Calapan City Plaza,13.4146322,121.1792051,park,way,654388807
pola park,13.1407506,121.4383801,park,way,714662527
Pinamalayan Municipal Park,13.0354732,121.4857135,park,way,963511043
Dayap Basketball Court,13.1448006,121.4984439,park,way,988991884
Calima Park,13.1369636,121.4778158,park,way,988992496
Plaza Del gobernador,13.4051621,121.1768539,park,way,1375780214
Calima Mangrove Park,13.1364619,121.4731919,yes,relation,14196693
Hilltop,13.273295,121.9563615,viewpoint,node,1598425618
