name,lat,lon,type,osm_type,osm_id
Taman Kota,0.8642031,99.5630839,park,way,241201333
Tugu Ratik Togak,0.894887,100.3110556,monument,node,5271236640
Taman Dataran Tinggi Pematang Baih,0.8937461,100.3109561,park,way,545434501
Taman Purna MTQ Kab. Rokan Hulu,0.8927988,100.310251,park,way,555638679
Hutan Kota Pasir Pengaraian,0.9006029,100.3067104,park,way,555638956
Taman Islamic Centre Rohul,0.8944648,100.3089839,park,way,557913353
Taman Kota Pasir Pengaraian,0.8649885,100.2954894,park,way,658035697
Taman Islamic Centre Rohul,0.8962246,100.3090425,park,way,742740729
Tugu Beradat,1.0803956,100.5376111,monument,node,12368968290
WaterPark Stafan,1.2787037,101.1744324,water_park,node,4561358363
Harationica Waterpark,1.27256,101.1612165,water_park,node,7002615969
Taman Kasuarina,1.2476838,101.2161263,park,way,200691746
kebun sawit,0.8733012,101.2427031,park,way,458530256
Taman Angsana,1.262896,101.1881868,park,way,893086738
Tugu Perbatasan,0.9171137,102.0323603,monument,node,3237879509
Tugu Perbatasan Siak - Bengkalis,1.1769143,102.1317716,monument,node,3242999261
Taman Sigaran Jiwa,0.9424033,102.0470671,park,way,1345113411
TK Adhiyaksa,1.0127061,102.7085867,playground,node,4198407477
Taman Cik Puan,1.0129338,102.7073193,park,way,419843826
Regent's Flower Garden,0.9887119,103.4370013,park,node,5978644643
KARIMUN VISUAL STUDIO,1.0097756,103.3915459,park,node,7680311291
PASAR MERAL KOTA,1.0107987,103.3925926,park,node,7680316987
Rumah Bugis (Memorial Daeng Haddadek Seri Saleiwangeng),1.3122305,103.4753014,attraction,way,1252295834
Taman Doa Maria Guadalupe,1.0467519,103.3804428,park,way,1441754445
Bonsai Garden,1.3382963,103.7300601,attraction,node,319830199
Dalhousie Obelisk,1.2874478,103.852223,monument,node,393739717
Sir Stamford Raffles Statue,1.2881329,103.8519231,monument,node,512071002
Esplanade,1.2898465,103.8551102,monument,node,512071256
Southernmost Point of Continental Asia,1.2480157,103.8213159,attraction,node,512090776
Sundial Garden,1.3095121,103.8163133,attraction,node,602090006
Hoya House,1.3099652,103.8162532,attraction,node,602090007
Ginger Garden,1.310897,103.8150737,attraction,node,602090009
Bandstand,1.3103872,103.8163537,attraction,node,602090012
Herbs and Spices,1.3203161,103.8156956,attraction,node,602165422
Delima Seafood Restaurant,1.0776664,103.9300801,monument,node,624941334
Batam Cable Ski,1.0802732,103.9378048,attraction,node,624950721
Statue (Music Tradisional) S.Harapan,1.10565,103.95558,monument,node,702339776
Carmichael Road Playground,1.3425915,103.8630059,monument,node,924815250
Scentopia,1.254664,103.8136526,museum,node,1110010020
The Bayshore playground,1.3134397,103.9398807,playground,node,1314006673
Police Heritage Centre,1.324405,103.8454916,museum,node,1541260942
Dialogue in the Dark Singapore,1.3341909,103.7771594,museum,node,1721892269
Long Bar,1.2951307,103.8534677,attraction,node,1766486405
Marsh Garden,1.306808,103.8170484,attraction,node,1844016094
Orchid Breeding and Micropropagation Lab,1.3085082,103.8181312,attraction,node,1844016097
Vanda Miss Joaquim,1.3106108,103.8160046,attraction,node,1844016099
Ancient Egypt,1.2536728,103.8228404,theme_park,node,1873233367
Far Far Away,1.254964,103.8236226,attraction,node,1873233368
Hollywood,1.2559302,103.8220744,attraction,node,1873233370
Madagascar,1.2554986,103.8228409,attraction,node,1873233371
New York,1.2545643,103.8212738,attraction,node,1873233373
Sci-Fi City,1.2536771,103.8219998,attraction,node,1873233374
Jurassic World,1.2539038,103.8238526,theme_park,node,1873233383
The Pinnacle@Duxton,1.2755813,103.8413189,viewpoint,node,1931861592
Dragon's Teeth Gate,1.2629688,103.8053462,attraction,node,1948666505
Singapore Maritime Gallery,1.2707176,103.8629867,museum,node,1985259385
