name,lat,lon,type,osm_type,osm_id
Hole Rock/Sunset Point,9.7471961,98.4058487,viewpoint,node,1561813506
Muelle,9.7445462,98.4213204,attraction,node,4411355390
Flying fox colony,9.7426596,98.4023863,attraction,node,10905140905
Happy House,9.7328123,98.4109251,attraction,node,12838634901
ဘုရင့်နောင်ရုပ်ထု Bayintnaung Statue,9.9756054,98.5515637,monument,node,2740711450
Clock Tower,9.9781353,98.5520486,attraction,node,2740711756
Victoria Point,9.9744867,98.5519155,viewpoint,node,4319291076
Ferry to Ko Phayam,9.93438,98.592098,attraction,node,4707559890
Lantalay Crocadile Farm,9.859407,98.5895219,attraction,node,6241917385
Phu Khao Ya,9.8676284,98.6200739,viewpoint,node,6687750190
จุดชมวิวทะเลหมอก เขาออง อำเภอหลังสวน,9.9545229,98.9949625,viewpoint,node,11212240143
Hot Springs and Raksa Warin Arboretum,9.958163,98.6509245,park,way,196948281
Bayintnaung Hill,9.9758385,98.5512208,park,way,433006544
ဗိုလ်ချုပ်ကြေးရုပ် Bogyoke Statue,9.9812599,98.5501084,monument,way,556403312
พระราชวังรัตนรังสรรค์,9.9652801,98.6364247,attraction,way,761931780
พระราชวังรัตนรังสรรค์,9.9654297,98.6365306,castle,way,761933868
สวนสุขภาพฮ้อเอี้ยฮุ้งเซี้ยโจ้ว,9.9514037,98.6088238,park,way,1295798789
ศาลหลักเมืองระนอง,9.9622022,98.640631,attraction,way,1424557213
Ranong Canyon,9.9355822,98.6854336,attraction,relation,17085898
Palm Garden,9.9810365,99.0442521,garden,way,660425412
Palm Garden,9.9818108,99.0446439,garden,way,660425413
Palm Garden,9.9825122,99.0448751,garden,way,660425416
Palm Garden,9.9834794,99.0448182,garden,way,660425418
Palm Garden,9.9830174,99.0437199,garden,way,660425420
Palm Garden,9.9807821,99.044603,garden,way,660425423
Palm Garden,9.9790552,99.0431717,garden,way,660425425
สวนเทิดพระเกียรติ 12 สิงหา,9.951231,99.0827714,park,way,693937283
จุดชมวิวเขาแหลมใหม่,9.5709839,99.9252244,viewpoint,node,1674918451
Coconut Museum,9.5257801,99.9462871,museum,node,4404359890
Koh Samui Monkey Center,9.510076,99.9464538,zoo,node,4478561992
The Challenge Phangan,9.7604632,99.9652651,attraction,node,4580618197
Phangan Safari,9.7911829,99.9868365,zoo,node,4702944614
360 bar,9.7972165,99.9854716,viewpoint,node,4731032016
Treehouse bar & restaurant,9.7964176,99.9837425,viewpoint,node,4748000137
Johnny's Sunset spot,9.7138285,99.9818713,viewpoint,node,5426885822
KBA Kiteboarding Centre - Koh Phangan,9.7061843,99.9908319,attraction,node,5577521272
Strand,9.7200456,99.9788586,attraction,node,6495405185
Sea View Gazebo,9.5711961,99.9974621,viewpoint,node,6840953860
Viewpoint,9.5616417,99.9422284,viewpoint,node,9169339417
Bird's Nest,9.7728948,99.9634754,viewpoint,node,10744682712
