name,lat,lon,type,osm_type,osm_id
Brumas Camp,4.6372797,117.7432281,attraction,node,4225364103
Observation tower,4.9608327,117.8014322,attraction,node,4746310021
Observations tower - self guided,4.9688028,117.8085438,viewpoint,node,6483210585
Start of path to observations toer,4.9691738,117.8085263,viewpoint,node,6483210685
Noor’s tree,4.6635789,117.7751169,monument,node,9923931417
Mini Dewan Datuk Nasrun Kampung Bagiang,4.6870699,118.2456053,garden,node,11950705811
Guineensis Park,4.6913219,118.2279816,park,node,11987585269
Tapak Arkeologi (Archaeological Site),4.7259613,118.0803035,archaeological_site,node,11987705416
Senja Ria,4.6864768,118.2516113,park,way,1288771522
Tun Sakaran Marine Park,4.5811452,118.7018732,attraction,node,4576602692
Sheik Makhdum Shrine,4.7289951,119.4991179,yes,way,664575328
Sheik Karimol Makhdum Mosque,4.8980352,119.8492163,attraction,way,664586002
Kuyubin Castle,5.4791674,116.2765607,castle,node,5135650322
Crocker Range Park Entrance,5.3971778,116.0970312,attraction,node,6046494142
Matanoi Hill,5.4933456,116.247131,attraction,node,6121124781
Rabbit Garden,5.4927661,116.246858,attraction,node,6121124783
Muzium Warisan Keningau,5.3455842,116.157916,museum,node,9951243385
Batu Sumpah,5.3448763,116.1581044,monument,node,9951243386
Pusat Ziarah Keluarga Kudus Nulu Sosopon,5.3577522,116.1234445,attraction,node,10592131276
Padang Bandaran Keningau,5.3325838,116.1524594,park,way,768410694
Taman Sahabat,5.3373367,116.1544401,park,way,880541158
Playground at Keningau Hospital,5.3703584,116.1811277,playground,way,953617574
Tamu Ground Bingkor,5.4041172,116.1934102,park,way,953617685
Taman Awam Nabawan,5.0425302,116.4333843,park,way,953949721
Taman Mahathir,5.3455297,116.1580783,park,way,1087226220
Imbak Canyon Conservation Area,5.049503,117.116247,attraction,node,5085287323
KOPEL Reception Centre,5.4075184,117.9505935,attraction,node,3671145188
Muzium Agop Batu Tulug.,5.4157015,117.9424088,museum,node,3991661111
PSFR A,5.4768311,117.9753359,park,node,3992112152
PSFR B,5.4784571,117.9367359,park,node,3992112153
Tungog Rainforest Eco Camp,5.410822,117.9620073,attraction,node,3992158209
Bukit Piton First Class Reserve,5.1863022,117.9553526,attraction,node,5775948214
Sungai Bole,5.1642679,117.8824574,park,node,7585627530
Sungai Bole,5.1563195,117.8852874,park,node,7586506262
Borneo Rainforest Lodge Viewpoint,5.0171281,117.7439422,viewpoint,node,10296598909
Taman Happ Heng Playground,5.0290541,118.31812,playground,node,1995372076
Pertasa estate,5.2817806,118.3167079,viewpoint,node,4707674789
Fig Tree Felix,5.4940149,118.2024531,attraction,node,10032776717
Virgin Jungle Reserve,5.34884,118.949779,park,node,5775955894
Bud Bongao Peak Park and Viewpoint,5.0171182,119.7446258,park,way,497109769
Nickel Ore Mining,5.3700395,120.3193602,viewpoint,node,9610806417
Nickel Ore Mining,5.3822955,120.3146691,viewpoint,node,9610806517
Lok Kawi Wildlife Park,5.8494147,116.0692529,zoo,node,1531670855
Perdana Park Playground,5.9499344,116.0500262,playground,node,1710875317
Monsopiad Culture Village,5.888988,116.07945,attraction,node,2103857036
Sabah State Museum & Heritage Village,5.960551,116.0714545,museum,node,2105153637
gym maktab,5.9584173,116.0678693,playground,node,2427708711
Botanical Garden,5.9538739,116.0502259,garden,node,2449651840
Statue of St. John Baptist de La Salle,5.9530646,116.052539,monument,node,2453773636
Stone boardwalk sunset viewpoint,5.9602108,116.0520451,viewpoint,node,2453808158
Pusat Orkid,5.9616621,116.0717831,attraction,node,4210148013
Signal Hill Observatory Tower,5.9856382,116.0791035,viewpoint,node,4210148112
SK,5.9691729,116.0890179,attraction,node,4225381289
Heritage Village Phase II,5.9623154,116.0741848,attraction,node,5039133721
Kipandi Butterfly Park,5.871446,116.250512,museum,node,5098778729
To Mahua Waterfall,5.7609618,116.4432661,attraction,node,5104431184
Sunset,5.9880251,116.0758938,viewpoint,node,5505189926
Rafflesia Information Centre,5.7773622,116.3434394,viewpoint,node,5599041322
Giant white pagoda and Chinese temple,5.9504665,116.0762069,attraction,node,5791827853
阿里王 Aliwang,5.9762335,116.0721615,attraction,node,5798077109
Ruins of 3rd oldest building in KK,5.9866799,116.0781487,attraction,node,6031078085
Mari Mari Cultural Village,5.9737112,116.2038427,museum,node,6046961944
Chinese Temple,5.9754152,116.0889188,attraction,node,6057494285
RM5 Fee To Walk Around Perimeter,5.9944765,116.1071963,attraction,node,6139905085
Sinurambi Tower,5.6507712,116.3722072,viewpoint,node,6732309943
Arapaima Tank,5.9776888,116.0877818,attraction,node,9846488579
Tugu Peringatan Malaysian,5.9822415,116.0755446,monument,node,9911763410
Tugu Peringatan Jambori Malaysia Ke-8 Tambunan Sabah,5.6694251,116.3658854,monument,node,9937154951
Tugu Pahlawan Tambunan,5.6706261,116.3646589,monument,node,9939455792
view to tambuan valley,5.8136098,116.3427219,viewpoint,node,11481844995
view to kota kinabalu over kokol ridge,5.9629753,116.2473099,viewpoint,node,11505388077
full coast view kota kinabalu to beaufort,5.9559347,116.2435158,viewpoint,node,11505499542
kungkurad,5.955927,116.2435979,viewpoint,node,11505966945
pass,5.9511004,116.4763455,viewpoint,node,11543301644
Royal Kids Playland,5.9614511,116.0969874,playground,node,11811745189
Sapphire Sky,5.9107161,116.0918069,amusement_arcade,node,11811745229
Tugu Peringatan Mat Salleh,5.7150779,116.3962118,monument,node,11946865176
