name,lat,lon,type,osm_type,osm_id
Kg Kuala Balai,4.4551268,114.3208777,viewpoint,node,4320636489
Lambir Hills National Park,4.1984989,114.0429469,attraction,node,4393348389
Path continues North,4.2035094,114.0304636,viewpoint,node,5490277124
main junction,4.202427,114.0307826,viewpoint,node,5490277125
tree lookout,4.2021441,114.0428852,viewpoint,node,5490277126
junction,4.2027168,114.0436591,viewpoint,node,5490277127
junction,4.2025973,114.0295871,viewpoint,node,5490305724
junction to Nibong Waterfall,4.2039212,114.0345332,viewpoint,node,5490305725
One Kingdom - Kid's Party & Playground,4.4705003,114.0119195,playground,node,11778538312
Bulatan Roundabout Oil Well Replica,4.4176971,114.016198,monument,node,11807387298
Rotary International Monument,4.4355856,114.0151077,monument,node,11816232044
Taman permainan awam marudi,4.1773365,114.3262041,park,node,11986503725
Dah Yuh platground,4.2004687,114.3440596,playground,node,11986539682
pekan marudi,4.1777496,114.3223094,park,node,11989874927
museum marudi,4.1771508,114.3241246,museum,node,11989948965
taman tasik marudi,4.1771346,114.3252115,park,node,11989968530
De Joyful Wonderland,4.478669,114.0398469,playground,node,12151802827
Papan Salam Etnik,4.4216729,114.0116148,monument,node,12347226036
Taman Bulatan Miri,4.420926,114.0113323,park,way,271970305
Bakong Mud Volcano,4.1186271,114.2263942,attraction,way,491255188
Taman Rekreasi Dato Permaisuri,4.4586552,114.0370201,park,way,694984172
Permaisuri Recreation Park Desa Murni,4.4692962,114.0467852,park,way,1234580842
Maigold playground,4.4967287,114.0082173,playground,way,1309991071
Maigold Community Garden,4.4966838,114.0083872,garden,way,1313524383
Desa Senadin 1C Community Gaden,4.4968828,114.0088261,garden,way,1313524683
Tree Top Tower,4.0389624,114.8138292,viewpoint,node,1339926078
Bat Observatory,4.0234994,114.8215872,viewpoint,node,1339968992
Local Handicraft For Sale,4.0539228,114.8182182,attraction,node,1339968998
Bukit Pala (Sunset),4.0320063,114.7997698,viewpoint,node,2992069046
Wildlife Observation Shelter,4.0404025,114.8181027,viewpoint,node,4221445903
Mini Pinnacles,4.1317383,114.8935001,viewpoint,node,4226803018
Pinnacles,4.123115,114.892876,viewpoint,node,4226803019
Bat Exodus Observation Platform,4.02365,114.8231218,viewpoint,node,5500778921
Mulu Canopy Walk,4.0320902,114.8191015,attraction,way,119196672
Meteorological Farm (MET Farm Mulu),4.0484004,114.8097143,garden,way,1070280848
Guided Tour Meeting Point,4.0424147,114.812529,attraction,way,1102300060
NG. SETUAN,4.2640918,115.0658029,viewpoint,node,5828445587
Kg Sungai Mau,4.550096,114.4872219,viewpoint,node,4320633491
Taman Jublee Perak Anduki,4.6350182,114.3879241,attraction,node,4320633492
Kg Bukit Puan,4.5379421,114.4677469,viewpoint,node,4320636490
Pantai Peranginan Kg Sungai Liang,4.6858304,114.4853633,attraction,node,4320636593
Billionth Barrel Monument,4.616748,114.3171615,attraction,node,4367704793
OGDC,4.6171896,114.3271635,attraction,node,4405539201
Menara Cendera Kenangan,4.5774237,114.1965338,monument,node,4816206265
Luagan Lalak North Viewpoint,4.5157561,114.475427,viewpoint,node,4971585796
Luagan Lalak South Viewpoint,4.5149324,114.4749371,viewpoint,node,4971585800
Luagan Lalak Main Viewpoint,4.5153275,114.4752795,viewpoint,node,4971585804
Teapot,4.5799818,114.2198115,monument,node,5533268521
Lumut Playground,4.6614988,114.4385269,playground,node,5720724884
Park Tribute,4.661432,114.4387388,castle,node,5720724886
Anduki Park,4.6362203,114.387879,park,way,531363803
OGDC Park,4.6174489,114.3280984,park,way,531364137
Taman Jubli Perak,4.5890328,114.1945164,park,way,531365272
Kuala Belait Waterfront,4.5796935,114.1940894,park,way,531365498
Turf Field,4.589165,114.2345955,park,way,531365734
Lagoon Pandan,4.5857542,114.2335184,park,way,533480589
Taman Pangsa,4.5924429,114.2511156,park,way,533480706
Tudung Saji,4.5776453,114.1983003,park,way,533480717
Track 8 Field,4.5873437,114.1990452,park,way,539348900
Seria Arca,4.6162245,114.3173701,park,way,539349553
Muzium Daerah Belait,4.5888197,114.1910084,museum,way,577070142
Lumut Beach Park,4.6618582,114.4385949,park,way,602171866
Seria Energy Recreational Park,4.6157025,114.3276808,park,way,1026282313
Ann Jia,4.501759,114.032765,park,way,1334657404
Glass-enclosed Viewing Tower,4.88426,114.9443257,viewpoint,node,2077177501
Muzium Teknologi Melayu,4.8832503,114.9698005,museum,node,2077189639
Bumbungan Dua Belas,4.8774517,114.9516371,attraction,node,2077189651
Brunei Clock Tower,4.8902702,114.942412,attraction,node,3245666983
Tower Viewpoint,4.9033422,114.9463538,viewpoint,node,4210179408
Kg Bukit Sawat,4.5251337,114.5541934,viewpoint,node,4320585692
Sungai Panchor,4.8032668,114.6717457,viewpoint,node,4320588790
Sungai Birau,4.8016001,114.67179,viewpoint,node,4320633490
Sungai Bakiau,4.7980928,114.6641322,viewpoint,node,4320636189
Lurah Saban,4.7995252,114.6685558,viewpoint,node,4320636389
Pulau Bakuku,4.7871119,114.626401,viewpoint,node,4320638389
Kg Merugi Bungkok,4.5177674,114.5543313,viewpoint,node,4321142009
Kg Ubok-Ubok,4.5082277,114.5642291,viewpoint,node,4321190798
Kota Batu Archaeological Park,4.8821488,114.9645839,archaeological_site,node,4360165791
Galeri Seni,4.8868655,114.9429737,gallery,node,4361417806
Area Pokok Buluh,4.754413,114.833619,park,node,5267172538
Taman Seri Warisan Emas,4.815146,114.6612371,monument,node,5504489915
Adventureland,4.9299146,114.8848607,playground,node,5997795660
Arcade,4.9476574,114.9673973,amusement_arcade,node,6039495430
Footbridge Across Canal,4.9051191,114.9279373,viewpoint,node,6139904985
Jabatan Pertanian Limbang (Getah),4.7489876,114.8299382,park,node,6813421273
My Jungle Gym,4.9019285,114.9272558,playground,node,8082928603
The entrance to Bukit Sipatir,4.8993549,114.9743775,park,node,8166759889
Funblocks,4.9469793,114.9607894,playground,node,8500483812
Mercu Tanda Kenangan,4.8072121,114.6592405,monument,node,9323466207
"""Bukit Bendera"" Sign",4.8074601,114.6607606,monument,node,9327437756
"""Sungai Tutong"" Sign",4.8035084,114.6574561,monument,node,9327437757
"""Pekan Tutong"" Sign",4.8056199,114.6578477,monument,node,9327437758
"""Tutong"" Sign",4.8191676,114.6679735,monument,node,9346376539
Agri Park Katimahar,4.8683162,114.8118959,park,node,9926053635
Lugu Lake Brunei,4.8901357,114.8039458,park,node,9926096382
Happy World,4.9159223,114.9145728,playground,node,11360060143
Bebuak Meritam (Entrance),4.7293445,114.8679084,attraction,node,11642985535
Meritam Volcanic Mud,4.730397,114.8720528,attraction,node,11757185765
Taman Rekreasi Bakol,4.6537542,114.9624186,park,node,11808665637
Balai khazanah,4.8837293,114.9198582,museum,node,12165000102
Bukit Beruang Hiking Trail,4.7261284,114.6149592,park,node,12252733356
Jerudong Park Bus Stop,4.9353978,114.8338059,attraction,node,12306986074
D'Family Wonderland,4.916551,114.9151421,playground,node,12460943344
climbing spot with equipment,4.9032868,114.945077,attraction,node,12541171302
Mahligai,4.8886219,114.9389298,monument,way,45767716
Taman Haji Sir Muda Omar Ali Saifuddien,4.8895008,114.9415791,park,way,45767727
Muzium Alat Kebesaran Diraja,4.8927987,114.9411976,museum,way,45820311
Arts and Handicraft Centre,4.8848852,114.9499273,attraction,way,45840035
Batu Satu Park,4.8892649,114.9328565,park,way,45842786
Taman Jubli Perak Sultan Haji Hassanal Bolkiah,4.8987991,114.9352602,park,way,265532229
