name,lat,lon,type,osm_type,osm_id
Bonsai Garden,1.3382963,103.7300601,attraction,node,319830199
Dalhousie Obelisk,1.2874478,103.852223,monument,node,393739717
Sir Stamford Raffles Statue,1.2881329,103.8519231,monument,node,512071002
Esplanade,1.2898465,103.8551102,monument,node,512071256
Southernmost Point of Continental Asia,1.2480157,103.8213159,attraction,node,512090776
Sundial Garden,1.3095121,103.8163133,attraction,node,602090006
Hoya House,1.3099652,103.8162532,attraction,node,602090007
Ginger Garden,1.310897,103.8150737,attraction,node,602090009
Bandstand,1.3103872,103.8163537,attraction,node,602090012
Herbs and Spices,1.3203161,103.8156956,attraction,node,602165422
Jelutong Tower,1.3513623,103.8063945,viewpoint,node,661034238
Statue (Music Tradisional) S.Harapan,1.10565,103.95558,monument,node,702339776
Carmichael Road Playground,1.3425915,103.8630059,monument,node,924815250
Scentopia,1.254664,103.8136526,museum,node,1110010020
Aerie,1.4464602,103.7257789,viewpoint,node,1285282423
The Bayshore playground,1.3134397,103.9398807,playground,node,1314006673
Police Heritage Centre,1.324405,103.8454916,museum,node,1541260942
Dialogue in the Dark Singapore,1.3341909,103.7771594,museum,node,1721892269
Long Bar,1.2951307,103.8534677,attraction,node,1766486405
Marsh Garden,1.306808,103.8170484,attraction,node,1844016094
Orchid Breeding and Micropropagation Lab,1.3085082,103.8181312,attraction,node,1844016097
Vanda Miss Joaquim,1.3106108,103.8160046,attraction,node,1844016099
Singapore Zoo,1.4045935,103.7907296,zoo,node,1857029103
Ancient Egypt,1.2536728,103.8228404,theme_park,node,1873233367
Far Far Away,1.254964,103.8236226,attraction,node,1873233368
Hollywood,1.2559302,103.8220744,attraction,node,1873233370
Madagascar,1.2554986,103.8228409,attraction,node,1873233371
New York,1.2545643,103.8212738,attraction,node,1873233373
Sci-Fi City,1.2536771,103.8219998,attraction,node,1873233374
Jurassic World,1.2539038,103.8238526,theme_park,node,1873233383
Sanrio Hello Kitty Town,1.4168378,103.6569427,theme_park,node,1911019465
The Pinnacle@Duxton,1.2755813,103.8413189,viewpoint,node,1931861592
Dragon's Teeth Gate,1.2629688,103.8053462,attraction,node,1948666505
Singapore Maritime Gallery,1.2707176,103.8629867,museum,node,1985259385
Bedok Terrace Playground,1.3254512,103.947357,playground,node,1992588656
Twin Pagoda,1.3396977,103.7282517,monument,node,2005650593
Legoland Malaysia Signboard,1.424604,103.6304793,viewpoint,node,2031222784
Educity Playground,1.4380018,103.6121225,playground,node,2043153008
Southern Ridges,1.2555712,103.8177397,viewpoint,node,2248167729
Machine Gun Post,1.2626929,103.8049811,attraction,node,2292008861
The Fourth Gun Position,1.2652209,103.8038744,attraction,node,2292011571
Gun Emplacement IV,1.2656483,103.8034502,attraction,node,2292012664
The Tunnel,1.2667462,103.8029917,attraction,node,2292014664
Block 109 Playground,1.3244262,103.9104338,playground,node,2383936534
Utterly Art,1.2837721,103.8446514,gallery,node,2497047979
Chinatown,1.2829435,103.8441517,attraction,node,2511049756
Butterfly Garden,1.3575401,103.9861793,zoo,node,2544668348
Kartright Speedway,1.3289694,103.6823339,attraction,node,2656671597
Mint Museum of Toys,1.2963108,103.8546099,museum,node,2738929707
Jejawi Tower,1.4095612,103.9899545,viewpoint,node,2967080194
Little Big Club,1.4167068,103.6569956,attraction,node,3133247377
Confucius statue,1.3382601,103.7289359,monument,node,3270110552
Koi pond,1.3572945,103.9860701,zoo,node,3294315861
1-Altitude Viewing Gallery,1.284747,103.8509933,viewpoint,node,3324020268
Lee Kong Chian Natural History Museum,1.3014296,103.773624,museum,node,3524204697
Angry Bird,1.4631375,103.7633771,theme_park,node,3745589488
Chinatown Heritage Centre,1.2834963,103.8443296,museum,node,3756799298
新加坡佛牙寺龙华院,1.2813051,103.8444324,museum,node,3756800538
Singapore Coin and Notes Museum,1.2834033,103.8444799,museum,node,3756807018
Musical Box Museum,1.2807264,103.8474662,museum,node,3856046951
Chong Pang Zone 2 Residents' Committee,1.4301107,103.8287628,garden,node,3892011979
Chong Pang Zone 4 Residents' Committee Garden,1.4322416,103.8302604,garden,node,3892011980
Chong Pang Zone 1 Residents' Committee Garden,1.4323061,103.8268562,garden,node,3914856287
Raptor Tower,1.4165976,103.728495,viewpoint,node,3987228518
Haw Par Beach Villa,1.4103963,103.9222681,attraction,node,4008733889
Civil Defense Heritage Gallery,1.2920735,103.8491424,museum,node,4047389534
Kampung Sungai Melayu,1.4521282,103.6928728,attraction,node,4087248494
Skyville@Dawson,1.2958062,103.8099916,viewpoint,node,4108805599
Berjaya Waterfront Food Truck Park,1.4691195,103.7819605,attraction,node,4226469389
Pocket Greens Urban Farm & Barn,1.3718548,103.7770068,attraction,node,4232943395
CHSL CH 0,1.3949731,103.6202919,attraction,node,4234717089
masjid Amanatul Haq,1.1091562,103.9855289,viewpoint,node,4279073389
Puaka Hill,1.4080354,103.9594365,viewpoint,node,4281640467
Arab street shops,1.3004402,103.8598028,attraction,node,4289598390
Chek Jawa Wetlands,1.408688,103.9907677,attraction,node,4300422591
bunker,1.4568311,103.826719,attraction,node,4309387623
bunker,1.4582,103.8228486,attraction,node,4309401506
bunker,1.4547873,103.8266131,attraction,node,4309430621
Primary Rainforest Urban Walk,1.3123211,103.8158633,attraction,node,4314443191
Battlebox Visitor Centre,1.296123,103.8462345,museum,node,4362541394
The Archeological Dig and Exhibition Area,1.2946094,103.8475802,museum,node,4362541694
Monsoon Point Break,1.3164035,103.9761603,viewpoint,node,4378685092
African White Lion,1.4024246,103.7882941,attraction,node,4400965576
Asian Wild Dog,1.4023575,103.7863757,attraction,node,4400965580
Bearded Pig,1.4022087,103.7861852,attraction,node,4400965584
Buffalo,1.4007634,103.7877543,attraction,node,4400965586
Chawang the Elephant,1.4022396,103.784527,attraction,node,4400965589
Clouded Leopard,1.4008975,103.7896721,attraction,node,4400965593
Elephant,1.402312,103.7852042,attraction,node,4400965594
Indian Wolves,1.4030038,103.7838645,attraction,node,4400965608
Malayan Tapir,1.4030493,103.7867311,attraction,node,4400965610
Nyala,1.4006334,103.7879153,attraction,node,4400965616
Oryx,1.3996426,103.7891216,attraction,node,4400965617
Possum,1.4030648,103.7878308,attraction,node,4400965620
Sambar Deer,1.4018239,103.7841266,attraction,node,4400965623
Sloth Bear,1.4001481,103.7889265,attraction,node,4400965625
Slow Loris,1.4027477,103.7900275,attraction,node,4400965627
Spiral Horned Antelope,1.4005677,103.7880567,attraction,node,4400965629
Sugar Glider,1.4031083,103.7878844,attraction,node,4400965632
Tawny Frogmouth Owl,1.4029448,103.7874829,attraction,node,4400965633
Tiger,1.4036138,103.7861443,attraction,node,4400965635
Wallaby,1.4027839,103.7880802,attraction,node,4400965638
White Lipped Python,1.4028599,103.7875051,attraction,node,4400965639
Zebra,1.3996413,103.788962,attraction,node,4400965640
megazip adventure park,1.2568794,103.814305,attraction,node,4402052494
Clementi Crescent Playground,1.3237658,103.7730137,playground,node,4425556290
Tortoise Shelter,1.2236891,103.8608616,attraction,node,4484869393
Paddle Lodge Pandan Reservoir,1.3200331,103.7366181,attraction,node,4523600291
The Intan,1.314681,103.9009812,museum,node,4530892089
Certis Cisco west hub,1.3305704,103.7385721,attraction,node,4537990591
Pororo Park,1.2906104,103.8570795,theme_park,node,4560997465
Condom Lorry,1.3767507,103.7837818,attraction,node,4564589708
Former Thai Temple,1.4168486,103.9521052,attraction,node,4564608589
Chancery Lane Pill Box,1.3221485,103.8385138,attraction,node,4564614398
Imbiah Bunkers,1.2569011,103.8147474,attraction,node,4568833161
Sakya Muni Buddha Gaya Temple,1.31482,103.856897,monument,node,4692287495
Old Boys Gallery,1.2765042,103.8358248,gallery,node,4737053628
Gallery 278,1.2949267,103.8418278,gallery,node,4738223788
Talbot Hill,1.4578442,103.7899138,attraction,node,4746147039
Ruins,1.3201875,103.782535,attraction,node,4746819482
Ruins,1.3204468,103.7822902,attraction,node,4746819559
Former Buona Vista Battery No. 2 Gun,1.3187031,103.7753593,attraction,node,4747069527
Seah Im Air Raid Shelter,1.2688747,103.8173732,attraction,node,4747135557
Southernmost Point of Continental Asia,1.2479468,103.8214116,viewpoint,node,4749908922
National Gallery Singapore,1.2902557,103.8514709,museum,node,4759240362
Learning Forest,1.3091744,103.8142292,attraction,node,4772535860
Ruins,1.3603133,103.8233783,attraction,node,4838324641
Obelisk,1.2628295,103.8049521,attraction,node,4907674520
Pillbox,1.2648422,103.8035416,attraction,node,4907708671
Ruins,1.3607876,103.8221125,attraction,node,4961680421
Ninja Trail,1.3917061,103.8950338,playground,node,4967837122
Singapore City Gallery,1.2795017,103.8451897,museum,node,5003225021
HSBC TreeTop Walk,1.3610473,103.8113955,viewpoint,node,5018172528
Peranakan Terrace houses,1.3103725,103.902457,attraction,node,5018207223
Street of Peranakan shophouses,1.3141955,103.8989857,attraction,node,5026572225
Arab Street,1.3021612,103.8583262,attraction,node,5140584427
Kindergarden playground,1.2874015,103.8152362,playground,node,5209631671
Happy Family of Five,1.2901856,103.8548216,monument,node,5226194022
Kite Museum Pasir Gudang,1.4740442,103.9060608,museum,node,5253879660
Ruins,1.3599759,103.8211534,attraction,node,5273189422
Lithe House,1.3049244,103.8527464,attraction,node,5283108421
Roof Garden,1.3942179,103.8733463,park,node,5284886057
Peranakan Terrace Houses,1.3137524,103.90286,attraction,node,5344372224
Light Show Viewing Point,1.2840841,103.8584382,viewpoint,node,5350977624
Viewpoint (westward),1.3051792,103.9420009,viewpoint,node,5352193422
Viewpoint (eastward),1.3130549,103.9586171,viewpoint,node,5352193423
Viewpoint (eastward),1.305357,103.9424755,viewpoint,node,5352224922
Lorong Melayu Park Playground,1.3239518,103.9091144,playground,node,5367640576
Arts Play,1.306134,103.9050389,playground,node,5414652929
Binturong,1.403056,103.7893234,attraction,node,5423452694
Himilayan Tahr,1.4032652,103.7890485,attraction,node,5423452695
Mouse Deer,1.4034435,103.7892255,attraction,node,5423452696
Fishing Cat,1.4031418,103.7895259,attraction,node,5423452697
Fishing Cat,1.4030279,103.7896587,attraction,node,5423452698
Pangolin,1.4028938,103.7896332,attraction,node,5423452699
Mouse Deer,1.4028563,103.7898237,attraction,node,5423452700
Civit,1.4027316,103.7897767,attraction,node,5423452701
Flying Fox,1.4025399,103.7897579,attraction,node,5423452702
Indian Gharial,1.4026123,103.7899336,attraction,node,5423452703
Barking Deer,1.4028683,103.7899886,attraction,node,5423452704
Asian Otter,1.4029957,103.7899148,attraction,node,5423452705
Barasingha,1.4017649,103.7903842,attraction,node,5423452706
Storks,1.4023334,103.7903695,attraction,node,5423452707
Fruit Bat,1.4003223,103.790918,attraction,node,5423452708
Spectral Tarsier,1.4005369,103.7907436,attraction,node,5423452709
Civit,1.4006334,103.7909099,attraction,node,5423452710
Porcupine,1.4007728,103.7906276,attraction,node,5423452711
Leopard Cat,1.4006374,103.7904446,attraction,node,5423452712
Hog Badger,1.4007071,103.7901998,attraction,node,5423452713
Giant Flying Squirrel,1.4007406,103.7900617,attraction,node,5423452714
Asian Otter,1.4008439,103.790228,attraction,node,5423452715
Golden Cat,1.4010731,103.7902099,attraction,node,5423452716
Slow Loris,1.4013601,103.7905492,attraction,node,5423452717
Sumatran Ourang Utan,1.4034462,103.7943197,attraction,node,5423452718
Malayan Sun Bear,1.4033081,103.7944444,attraction,node,5423452719
Spiny Hill Turtle,1.4030735,103.7945417,attraction,node,5423452720
Komodo Dragon,1.4031137,103.7948005,attraction,node,5423453421
Monitor,1.4030172,103.7950191,attraction,node,5423453422
Giant Tortoise,1.402875,103.7946355,attraction,node,5423453423
Horned Lizard,1.4028482,103.7948367,attraction,node,5423453424
Snakes,1.4025211,103.7947643,attraction,node,5423453425
Archery Range Indoor,1.3327551,103.8670265,attraction,node,5450272625
Even here somewhere,1.4565802,103.7625554,attraction,node,5462566821
Henderson Waves,1.2760507,103.8154142,attraction,node,5486212721
Bambusetum,1.3112897,103.8128795,attraction,node,5549593967
little india,1.4589737,103.7638968,attraction,node,5573564221
Observation Tower,1.3780953,103.7783677,viewpoint,node,5599660021
Light Show: Garden Rhapsody,1.2821068,103.8639782,attraction,node,5647751955
Badminton court,1.3156525,103.7716297,playground,node,5667225855
Singapore Botanic Gardens Heritage Museum,1.3087398,103.8176157,museum,node,5667430193
Fragrant Garden,1.3174422,103.8163834,attraction,node,5708459524
Ruins,1.2782692,103.8037294,attraction,node,5708926389
Madame Tussauds Singapore,1.2540986,103.8177656,museum,node,5717895585
Communal Gardening Flower Beds (by NParks),1.3356858,103.9256042,garden,node,5723622269
Forest Walk,1.2799997,103.8030222,attraction,node,5754100521
4D Adventureland,1.2553342,103.8165435,theme_park,node,5761606753
Timezone,1.3109566,103.8566191,amusement_arcade,node,5803273229
Splash-N-Surf,1.3037008,103.8727201,water_park,node,5808536801
OmOcha!! World,1.3023951,103.8764879,amusement_arcade,node,5808854467
Eco-Community Garden,1.3534614,103.9400377,garden,node,5813931525
Timezone,1.300317,103.8446355,amusement_arcade,node,5825269295
Reflections at Bukit Chandu,1.2794721,103.7940834,museum,node,5829461647
Timezone,1.40672,103.9017861,amusement_arcade,node,5883303671
Virtualand,1.3509491,103.8722241,amusement_arcade,node,5942836038
KidzPlay,1.3508355,103.8722842,playground,node,5942836041
Tiban Koperasi Blok S,1.1037182,103.9651989,park,node,5993538418
Terminal 2 Orchid Garden,1.3540762,103.9887044,attraction,node,6008885785
Bell of Happiness (Dar Pomorza),1.2716597,103.8189686,attraction,node,6009344392
Happy Park,1.4069259,103.9021443,playground,node,6020812670
MacRitchie Reservoir Submerged Boardwalk,1.3413737,103.8315193,attraction,node,6021713085
Proboscis Monkey,1.4020099,103.7958293,attraction,node,6024473086
Forest Canopy Walk,1.2785287,103.8093385,attraction,node,6075719088
Local market,1.3482625,103.7575012,attraction,node,6082964185
Banyan Tree & Ruin,1.3066832,103.8663997,attraction,node,6084050885
Jalur Masuk Tiban Palem,1.1047831,103.9646907,park,node,6133089412
Småland,1.3738592,103.9320405,playground,node,6141723799
Stream,1.3558024,103.7575638,attraction,node,6209861844
Log Bridge,1.386493,103.7892303,attraction,node,6209912502
889 Children's Playground,1.350183,103.9309334,playground,node,6238509985
Hidden underground Japanese era structure,1.3467942,103.8138053,attraction,node,6260971088
Timezone,1.2637426,103.8231361,amusement_arcade,node,6271033416
Taman Bukit Dahlia Playground,1.4802588,103.8968011,playground,node,6351669730
Harmony in Diversity Gallery,1.2793567,103.8466029,gallery,node,6356165775
Plant House,1.3101143,103.8174937,attraction,node,6411349985
Jose Rizal Mercado,1.2870885,103.8524684,monument,node,6435167605
Malay Garden,1.2824379,103.8629641,information,node,6449211272
Malay Garden,1.2825991,103.8632911,information,node,6449211273
cipta green mansion,1.12693,103.9592995,park,node,6451532872
PUB Water Rapid Flow,1.3571032,103.8045715,attraction,node,6512510561
Happy Castle,1.2640569,103.820269,playground,node,6549175968
The Playground,1.4061578,103.9019229,playground,node,6639726960
Wonderland,1.4061048,103.902033,playground,node,6639726974
Objectifs - Centre for Photography and Film,1.2998033,103.8520187,museum,node,6712453286
Route 2 - closed 2019,1.4463836,103.7252312,viewpoint,node,6722078885
Route 2 - closed 2019,1.4453252,103.7242493,viewpoint,node,6722078985
Common themed playground,1.3363519,103.9359052,playground,node,6726257232
Toy Or Game,1.2996966,103.854524,amusement_arcade,node,6743669012
Paco Funworld,1.2993602,103.8542024,amusement_arcade,node,6743669023
