name,lat,lon,type,osm_type,osm_id
Moongate,5.4356506,100.2927075,monument,node,1376587787
Anjung Indah,5.3501692,100.2520179,viewpoint,node,1718697547
Bukit Genting Viewpoint,5.3091534,100.2207694,viewpoint,node,1728580914
Muzium Perang Penang,5.2812421,100.2889311,museum,node,1928907661
Penang Toy Museum,5.4568917,100.2156763,museum,node,2270325272
Camera Museum,5.4198765,100.3357532,museum,node,2411605181
Malaysia's Largest Sundial,5.2577417,100.4286184,monument,node,2739129033
Bellevue Ginger Gardens & Aviary,5.4257025,100.2687648,garden,node,3103756998
The Owl Museum,5.4244791,100.2688026,museum,node,3103757000
Lily Pond,5.441383,100.2900572,garden,node,3162619672
Menara Pandang,5.449894,100.2219669,viewpoint,node,3246711671
Fireflies,5.1598044,100.4913425,attraction,node,3321491949
Jeti Lim,5.4130557,100.3409971,attraction,node,4206135189
Little India,5.4171825,100.339338,attraction,node,4206410706
PG Gold Museum,5.4195597,100.339951,museum,node,4206498297
Upside Down Museum,5.4157586,100.3336047,museum,node,4206629990
Ghost Museum,5.4138078,100.3347391,museum,node,4206649993
Penang Heritage Gallery,5.4219671,100.3312583,museum,node,4216637789
Penang 3D Trick Art Museum,5.4197585,100.3417413,museum,node,4242270489
Waterfall (titi kerawang),5.403263,100.2225283,attraction,node,4243277690
Top of the Pagoda,5.3997287,100.2733749,viewpoint,node,4248787292
Lim Brothers Orchard,5.354989,100.2394797,attraction,node,4306092393
Batik Painting Museum Penang,5.4147404,100.3377524,museum,node,4347327417
Unique Penang Art Gallery,5.4193163,100.3366675,gallery,node,4347327419
Teochew Puppet and Opera,5.4157262,100.3361253,museum,node,4499824989
Free the monkeys! (Caged monkeys),5.4032636,100.2218928,attraction,node,4502479389
Villa Primavera (Konishi residence),5.4223117,100.298971,attraction,node,4531155589
Antique shop,5.41698,100.3358842,museum,node,4549309107
Bukit Mertajam Viewing Point,5.3696824,100.4847472,viewpoint,node,4608885597
Nam Shan,5.3656018,100.2623066,viewpoint,node,4664842691
Heaven Hill,5.3201863,100.2379813,viewpoint,node,4664847489
Tua Peh Kong,5.3060471,100.2531114,monument,node,4664870591
PLS Downhill Trail,5.3192315,100.2526133,attraction,node,4664908090
八仙廟,5.3372371,100.2380489,attraction,node,4664908792
James Richardson Logan Monument,5.4211103,100.3398276,monument,node,4679723889
Morning Market,5.4177987,100.3323968,attraction,node,4684711090
Nagore Square,5.4205862,100.3256641,attraction,node,4708386790
"Marking George Town - ""Labourer To Trader""",5.4181908,100.331438,attraction,node,4917020125
Frog Lake,5.4415286,100.4833017,viewpoint,node,4929233155
Butterworth Art Walk,5.4097214,100.370355,attraction,node,4934160821
Ban Pecah,5.0455166,100.3836326,attraction,node,5013245322
Tang Hang Hill,5.3417274,100.2596988,attraction,node,5045686549
"""Star Wars"" Street Art",5.4162696,100.3379243,attraction,node,5062131025
Jet Ski Paraseiling Banana,5.4763145,100.2494485,attraction,node,5063236223
Limbongan Batu Maung,5.2824947,100.29009,attraction,node,5092720725
1200 Steps,5.3828197,100.2617021,attraction,node,5107362327
Fishball Hill,5.3882236,100.2638095,attraction,node,5107377724
Iconic Hill,5.3665009,100.2826169,viewpoint,node,5107457523
3 Hills,5.4014087,100.2671934,attraction,node,5107509221
Lee Rubber,5.3696413,100.2815342,attraction,node,5107547623
Half Pondok Upeh,5.3319671,100.2374812,attraction,node,5110609222
Big Bird House,5.3232156,100.2404761,attraction,node,5110609223
To Bukit Genting,5.3013287,100.225273,attraction,node,5110609225
"Street Art - ""Banh Bao""",5.4202424,100.3331062,attraction,node,5132590526
Muhibbah,5.3665148,100.2389524,attraction,node,5147539821
TSLK,5.4123458,100.2700982,attraction,node,5147539822
Sungai Rusa,5.400812,100.2292044,attraction,node,5147539921
Countryside Stables Penang,5.3392711,100.1981492,attraction,node,5199872421
Chun May Treding Co. 精美画框,5.3618961,100.4444333,gallery,node,5258285471
Tan Jetty,5.4119025,100.3388158,attraction,node,5340034249
"Street art ""Garbage Rat""",5.4184798,100.3365743,attraction,node,5478063521
"Street art - ""Warrior",5.4196432,100.3309244,attraction,node,5484314621
Floral Tea Mansion,5.4219409,100.3279781,monument,node,5484339021
Putra Place Play Park,5.3409134,100.3090368,park,node,5506266452
Seesaw,5.3212943,100.2809782,playground,node,5507336980
