name,lat,lon,type,osm_type,osm_id
Mốc Tọa độ quốc gia,8.6069325,104.7207367,monument,node,6274203261
Đài Quan sát rừng,8.6063315,104.7218782,viewpoint,node,6274203277
Cột cờ Mũi Cà Mau,8.6079821,104.7193238,attraction,way,1228650506
Công viên Đầm Dơi,8.9917828,105.1982064,park,way,1176900004
Mũi Cá Mập,8.64075,106.6134976,attraction,node,5826260261
Trại Phú Thọ,8.6897054,106.6151959,museum,node,7023329193
Trại Phú Phong,8.6888132,106.6151637,museum,node,7023329194
Trại Phú Tường,8.6885971,106.6142303,museum,node,7023329195
Sở Lò Vôi,8.6929849,106.6226088,museum,node,7024795791
Bãi Ông Đụng,8.7065057,106.5904424,attraction,node,7040229642
Abandoned Resort,8.6469442,106.5845154,attraction,node,7192415585
cây di sản việt nam,8.7109975,106.5978877,attraction,node,7720996586
snorkeling spot,8.7321607,106.6186088,viewpoint,node,10223608917
Trại Phú Bình,8.6936489,106.6193401,museum,way,469802902
Nhà tù Côn Đảo,8.6890738,106.614842,museum,way,715077456
Công viên Nguyễn Đức Thuận,8.6805877,106.6039144,park,way,751029497
Cầu tàu 914,8.6811899,106.6092072,attraction,way,751056510
Công viên Tôn Đức Thắng,8.6818051,106.6082232,park,way,751056562
Di tích Sở Cò,8.6834967,106.608817,museum,way,751056573
Dinh Chúa Đảo,8.6829333,106.6083764,museum,way,751056576
Trại Phú Sơn,8.6847346,106.6108675,museum,way,751056577
Trại Phú Hải,8.6842183,106.6100302,museum,way,751056578
Công viên Võ Thị Sáu,8.6867812,106.6143117,park,way,751056604
Bảo tàng Côn Đảo,8.687381,106.6137746,museum,way,751056607
Công viên Phạm Văn Đồng,8.6880024,106.6110656,park,way,751056610
Công viên Lê Đức Thọ,8.6856062,106.6109684,park,way,751836548
Công viên Nguyễn Huệ,8.6816768,106.6043906,park,relation,10353979
Nhà Bác Ba Phi,9.1202884,104.8488218,viewpoint,node,5251674991
Khu Tưởng Niêm Chủ Tịch Hồ Chí Minh,9.183931,105.1358593,attraction,node,5435416824
chú 2 Kiên Giang,9.4979465,105.1616131,viewpoint,node,8093354617
Hoa Rừng U Minh,9.2647237,105.0195256,attraction,node,12766802559
