method,build_time,query_time,recall_at_k,M,efConstruction,efSearch
BruteForce,0.0,0.03576922416687012,1.0,n/a,n/a,n/a
KDTree,0.0003123283386230469,0.0015192031860351562,0.9762,n/a,n/a,n/a
HNSW,0.0010833740234375,0.0010178089141845703,0.9615,8,50,10
HNSW,0.0010833740234375,0.004767417907714844,0.9762,8,50,100
HNSW,0.0010833740234375,0.00672459602355957,0.9762,8,50,500
HNSW,0.001291513442993164,0.0009505748748779297,0.9709,8,100,10
HNSW,0.001291513442993164,0.0047283172607421875,0.9762,8,100,100
HNSW,0.001291513442993164,0.006905317306518555,0.9762,8,100,500
HNSW,0.001318216323852539,0.0009696483612060547,0.9609,8,200,10
HNSW,0.001318216323852539,0.004834175109863281,0.9762,8,200,100
HNSW,0.001318216323852539,0.0067729949951171875,0.9762,8,200,500
HNSW,0.0009489059448242188,0.0010097026824951172,0.9614,16,50,10
HNSW,0.0009489059448242188,0.004934787750244141,0.9762,16,50,100
HNSW,0.0009489059448242188,0.0069789886474609375,0.9762,16,50,500
HNSW,0.0011522769927978516,0.001020669937133789,0.9696,16,100,10
HNSW,0.0011522769927978516,0.004971981048583984,0.9762,16,100,100
HNSW,0.0011522769927978516,0.007067203521728516,0.9762,16,100,500
HNSW,0.0013461112976074219,0.0010499954223632812,0.9745,16,200,10
HNSW,0.0013461112976074219,0.0050008296966552734,0.9762,16,200,100
HNSW,0.0013461112976074219,0.00706791877746582,0.9762,16,200,500
HNSW,0.0010793209075927734,0.0011446475982666016,0.962,32,50,10
HNSW,0.0010793209075927734,0.0052645206451416016,0.9762,32,50,100
HNSW,0.0010793209075927734,0.007508516311645508,0.9762,32,50,500
HNSW,0.0012667179107666016,0.0011546611785888672,0.9718,32,100,10
HNSW,0.0012667179107666016,0.005318880081176758,0.9762,32,100,100
HNSW,0.0012667179107666016,0.0074329376220703125,0.9762,32,100,500
HNSW,0.0014023780822753906,0.0011661052703857422,0.9731,32,200,10
HNSW,0.0014023780822753906,0.00533294677734375,0.9762,32,200,100
HNSW,0.0014023780822753906,0.007458686828613281,0.9762,32,200,500
