method,build_time,query_time,recall_at_k,M,efConstruction,efSearch
BruteForce,0.0,0.013715982437133789,1.0,n/a,n/a,n/a
KDTree,0.0008900165557861328,0.10206794738769531,1.0,n/a,n/a,n/a
HNSW,0.003144979476928711,0.0037119388580322266,0.9607,8,50,10
HNSW,0.003144979476928711,0.008026838302612305,0.9963,8,50,100
HNSW,0.003144979476928711,0.009859800338745117,0.9985,8,50,500
HNSW,0.0031948089599609375,0.0036568641662597656,0.965,8,100,10
HNSW,0.0031948089599609375,0.008302927017211914,0.996,8,100,100
HNSW,0.0031948089599609375,0.017653942108154297,0.9992,8,100,500
HNSW,0.0029859542846679688,0.0033416748046875,0.9645,8,200,10
HNSW,0.0029859542846679688,0.008903264999389648,0.9974,8,200,100
HNSW,0.0029859542846679688,0.00976705551147461,0.9983,8,200,500
HNSW,0.003452777862548828,0.0038661956787109375,0.9879,16,50,10
HNSW,0.003452777862548828,0.008476972579956055,0.9992,16,50,100
HNSW,0.003452777862548828,0.009784936904907227,0.9971,16,50,500
HNSW,0.003888845443725586,0.005403041839599609,0.9884,16,100,10
HNSW,0.003888845443725586,0.008443832397460938,0.9981,16,100,100
HNSW,0.003888845443725586,0.009492874145507812,0.9989,16,100,500
HNSW,0.0036001205444335938,0.003637075424194336,0.9834,16,200,10
HNSW,0.0036001205444335938,0.008714914321899414,0.9985,16,200,100
HNSW,0.0036001205444335938,0.009649991989135742,0.9966,16,200,500
HNSW,0.0030400753021240234,0.003665924072265625,0.9842,32,50,10
HNSW,0.0030400753021240234,0.00851297378540039,0.9977,32,50,100
HNSW,0.0030400753021240234,0.010425090789794922,0.996,32,50,500
HNSW,0.0034637451171875,0.0042171478271484375,0.9911,32,100,10
HNSW,0.0034637451171875,0.009026050567626953,0.9966,32,100,100
HNSW,0.0034637451171875,0.010973930358886719,0.9975,32,100,500
HNSW,0.0035228729248046875,0.003451824188232422,0.988,32,200,10
HNSW,0.0035228729248046875,0.00869607925415039,0.9981,32,200,100
HNSW,0.0035228729248046875,0.010190725326538086,1.0,32,200,500
