M,efConstruction,efSearch,recall@k,build_time_s,query_time_s,qps
8,50,50,0.9742,0.0030410289764404297,0.002492189407348633,200626.80570171244
8,50,100,0.9742,0.0030410289764404297,0.003097057342529297,161443.57197844496
8,50,200,0.9742,0.0030410289764404297,0.0038580894470214844,129597.82474354221
8,100,50,0.9714,0.002735137939453125,0.0018010139465332031,277621.3926396611
8,100,100,0.9742,0.002735137939453125,0.0023450851440429688,213211.87474583165
8,100,200,0.9742,0.002735137939453125,0.003495931625366211,143023.3922116893
8,200,50,0.9742,0.002254962921142578,0.0015811920166015625,316217.12907117006
8,200,100,0.9742,0.002254962921142578,0.002385854721069336,209568.502048566
8,200,200,0.9742,0.002254962921142578,0.0039081573486328125,127937.53050268424
16,50,50,0.973,0.0017249584197998047,0.0017032623291015625,293554.31131019036
16,50,100,0.9742,0.0017249584197998047,0.0023589134216308594,211961.99717000203
16,50,200,0.9742,0.0017249584197998047,0.002875089645385742,173907.62086408492
16,100,50,0.9742,0.002171039581298828,0.001661062240600586,301012.2003731879
16,100,100,0.9742,0.002171039581298828,0.0023517608642578125,212606.65044606652
16,100,200,0.9742,0.002171039581298828,0.0031681060791015625,157822.99819385912
16,200,50,0.9714,0.0025119781494140625,0.0016150474548339844,309588.42633599055
16,200,100,0.9742,0.0025119781494140625,0.002775907516479492,180121.2745855879
16,200,200,0.9742,0.0025119781494140625,0.002615213394165039,191188.9871455921
32,50,50,0.9722,0.0017881393432617188,0.0016357898712158203,305662.73138026526
32,50,100,0.9742,0.0017881393432617188,0.0022330284118652344,223911.16805466582
32,50,200,0.9742,0.0017881393432617188,0.0030362606048583984,164676.24656458577
32,100,50,0.9742,0.0020971298217773438,0.0016629695892333984,300666.9534050179
32,100,100,0.9742,0.0020971298217773438,0.0022170543670654297,225524.46499623614
32,100,200,0.9742,0.0020971298217773438,0.002821207046508789,177229.10504521255
32,200,50,0.9742,0.00261688232421875,0.0017559528350830078,284745.68906992534
32,200,100,0.9742,0.00261688232421875,0.0026521682739257812,188524.9910104279
32,200,200,0.9742,0.00261688232421875,0.0029959678649902344,166890.97564857552
