method,build_time,query_time,recall_at_k,M,efConstruction,efSearch
BruteForce,0.0,0.07174181938171387,1.0,n/a,n/a,n/a
KDTree,0.004024028778076172,0.003439188003540039,0.9778,n/a,n/a,n/a
HNSW,0.0069561004638671875,0.002337217330932617,0.9573,8,50,10
HNSW,0.0069561004638671875,0.004905223846435547,0.9778,8,50,100
HNSW,0.0069561004638671875,0.0176849365234375,0.9778,8,50,500
HNSW,0.009422063827514648,0.0023889541625976562,0.9615,8,100,10
HNSW,0.009422063827514648,0.004786252975463867,0.9736,8,100,100
HNSW,0.009422063827514648,0.01920604705810547,0.9736,8,100,500
HNSW,0.011879205703735352,0.002128124237060547,0.9583,8,200,10
HNSW,0.011879205703735352,0.0047261714935302734,0.9741,8,200,100
HNSW,0.011879205703735352,0.018450021743774414,0.9741,8,200,500
HNSW,0.0058939456939697266,0.0019030570983886719,0.9523,16,50,10
HNSW,0.0058939456939697266,0.004410266876220703,0.9778,16,50,100
HNSW,0.0058939456939697266,0.01870107650756836,0.9778,16,50,500
HNSW,0.007811069488525391,0.0018739700317382812,0.952,16,100,10
HNSW,0.007811069488525391,0.005151033401489258,0.9778,16,100,100
HNSW,0.007811069488525391,0.019460201263427734,0.9778,16,100,500
HNSW,0.010658979415893555,0.002257823944091797,0.9621,16,200,10
HNSW,0.010658979415893555,0.004840850830078125,0.9778,16,200,100
HNSW,0.010658979415893555,0.01813197135925293,0.9778,16,200,500
HNSW,0.0057408809661865234,0.002065896987915039,0.9665,32,50,10
HNSW,0.0057408809661865234,0.004782915115356445,0.9778,32,50,100
HNSW,0.0057408809661865234,0.018964052200317383,0.9778,32,50,500
HNSW,0.007690906524658203,0.0021462440490722656,0.9583,32,100,10
HNSW,0.007690906524658203,0.0042340755462646484,0.9776,32,100,100
HNSW,0.007690906524658203,0.018337011337280273,0.9778,32,100,500
HNSW,0.010286092758178711,0.0020689964294433594,0.949,32,200,10
HNSW,0.010286092758178711,0.004775047302246094,0.9776,32,200,100
HNSW,0.010286092758178711,0.01807093620300293,0.9778,32,200,500
