method,build_time,query_time,recall_at_k,M,efConstruction,efSearch
BruteForce,0.0,0.03848385810852051,1.0,n/a,n/a,n/a
KDTree,0.013762235641479492,0.28905439376831055,0.995,n/a,n/a,n/a
HNSW,0.01638174057006836,0.006011009216308594,0.9444,8,50,10
HNSW,0.01638174057006836,0.031110286712646484,0.9943,8,50,100
HNSW,0.01638174057006836,0.044580936431884766,0.9951,8,50,500
HNSW,0.013360977172851562,0.004246234893798828,0.9482,8,100,10
HNSW,0.013360977172851562,0.01803421974182129,0.992,8,100,100
HNSW,0.013360977172851562,0.04487133026123047,0.9936,8,100,500
HNSW,0.018335342407226562,0.004098415374755859,0.9437,8,200,10
HNSW,0.018335342407226562,0.01817178726196289,0.9923,8,200,100
HNSW,0.018335342407226562,0.044809818267822266,0.9936,8,200,500
HNSW,0.009315729141235352,0.004375457763671875,0.9664,16,50,10
HNSW,0.009315729141235352,0.019055604934692383,0.9949,16,50,100
HNSW,0.009315729141235352,0.045954227447509766,0.9959,16,50,500
HNSW,0.014530420303344727,0.004922389984130859,0.9777,16,100,10
HNSW,0.014530420303344727,0.020009756088256836,0.9954,16,100,100
HNSW,0.014530420303344727,0.04700446128845215,0.9948,16,100,500
HNSW,0.02130722999572754,0.005067348480224609,0.9753,16,200,10
HNSW,0.02130722999572754,0.020774126052856445,0.9951,16,200,100
HNSW,0.02130722999572754,0.04756760597229004,0.9948,16,200,500
HNSW,0.009548664093017578,0.005042552947998047,0.9704,32,50,10
HNSW,0.009548664093017578,0.019764184951782227,0.9934,32,50,100
HNSW,0.009548664093017578,0.04716825485229492,0.9949,32,50,500
HNSW,0.014490604400634766,0.0055539608001708984,0.9794,32,100,10
HNSW,0.014490604400634766,0.020848751068115234,0.9952,32,100,100
HNSW,0.014490604400634766,0.04844093322753906,0.9961,32,100,500
HNSW,0.021406173706054688,0.0059201717376708984,0.98,32,200,10
HNSW,0.021406173706054688,0.02180027961730957,0.9948,32,200,100
HNSW,0.021406173706054688,0.04894423484802246,0.9958,32,200,500
