M,efConstruction,efSearch,recall@k,build_time_s,query_time_s,qps
8,100,50,0.9776,0.011330842971801758,0.0020771026611328125,240719.92653810835
8,100,100,0.9786,0.011330842971801758,0.0029990673065185547,166718.49908577788
8,100,200,0.9786,0.011330842971801758,0.004366874694824219,114498.36208779209
8,200,50,0.969,0.013667821884155273,0.0017650127410888672,283284.0740240443
8,200,100,0.9698,0.013667821884155273,0.0026090145111083984,191643.24225532304
8,200,200,0.9698,0.013667821884155273,0.004489898681640625,111361.08751062021
16,100,50,0.9768,0.010661840438842773,0.002034902572631836,245712.0093731693
16,100,100,0.9784,0.010661840438842773,0.003033161163330078,164844.52130168214
16,100,200,0.979,0.010661840438842773,0.004862308502197266,102831.81327841523
16,200,50,0.979,0.011492252349853516,0.0016090869903564453,310735.2200325974
16,200,100,0.979,0.011492252349853516,0.002371072769165039,210875.01256913022
16,200,200,0.979,0.011492252349853516,0.004228830337524414,118236.00383379376
32,100,50,0.9784,0.008079051971435547,0.0015940666198730469,313663.1767873168
32,100,100,0.979,0.008079051971435547,0.0024988651275634766,200090.8310275737
32,100,200,0.979,0.008079051971435547,0.004221916198730469,118429.63632256608
32,200,50,0.9786,0.01069188117980957,0.001714944839477539,291554.5669400806
32,200,100,0.979,0.01069188117980957,0.0026497840881347656,188694.61939895627
32,200,200,0.979,0.01069188117980957,0.0041201114654541016,121355.94004976563
