M,efConstruction,efSearch,recall@k,build_time_s,query_time_s,qps
8,100,50,0.9852,0.01415705680847168,0.005039691925048828,99212.41366259816
8,100,100,0.9904,0.01415705680847168,0.007328987121582031,68222.25113858165
8,100,200,0.9916,0.01415705680847168,0.012078046798706055,41397.42197832567
8,200,50,0.9904,0.01849675178527832,0.007472038269042969,66916.14550095724
8,200,100,0.9932,0.01849675178527832,0.009350299835205078,53474.22102095976
8,200,200,0.9952,0.01849675178527832,0.014084815979003906,35499.221342000135
16,100,50,0.9944,0.01460719108581543,0.005341291427612305,93610.32004642235
16,100,100,0.997,0.01460719108581543,0.008165121078491211,61236.0790726195
16,100,200,0.997,0.01460719108581543,0.012086868286132812,41367.208458261004
16,200,50,0.9956,0.021657943725585938,0.0061872005462646484,80811.99183075796
16,200,100,0.9956,0.021657943725585938,0.009456157684326172,52875.59880994403
16,200,200,0.996,0.021657943725585938,0.012795209884643555,39077.123744573015
32,100,50,0.9972,0.017099857330322266,0.0065500736236572266,76335.0198376588
32,100,100,0.9968,0.017099857330322266,0.009541034698486328,52405.21765205658
32,100,200,0.9962,0.017099857330322266,0.013689279556274414,36524.93164045492
32,200,50,0.9958,0.028915882110595703,0.008795976638793945,56844.170980944895
32,200,100,0.9964,0.028915882110595703,0.01128387451171875,44311.02096010818
32,200,200,0.9954,0.028915882110595703,0.01512289047241211,33062.462557149614
