M,efConstruction,efSearch,recall@k,build_time_s,query_time_s,qps
8,100,50,0.9346,0.1749718189239502,0.001995086669921875,250615.67877629062
8,100,100,0.95,0.1749718189239502,0.002295970916748047,217772.79335410177
8,100,200,0.96,0.1749718189239502,0.0038602352142333984,129525.7859304552
8,200,50,0.9486,0.2713170051574707,0.0019068717956542969,262209.55238809704
8,200,100,0.9582,0.2713170051574707,0.0027980804443359375,178693.93319700068
8,200,200,0.967,0.2713170051574707,0.004240989685058594,117897.00921969867
16,100,50,0.9362,0.16413617134094238,0.0016999244689941406,294130.7152875175
16,100,100,0.9464,0.16413617134094238,0.0022351741790771484,223696.21333333335
16,100,200,0.9522,0.16413617134094238,0.003776073455810547,132412.67836848088
16,200,50,0.9596,0.24786996841430664,0.0016961097717285156,294792.24065223505
16,200,100,0.9744,0.24786996841430664,0.0022208690643310547,225137.09071390232
16,200,200,0.9842,0.24786996841430664,0.003941059112548828,126869.44948578342
32,100,50,0.9242,0.1535961627960205,0.0018410682678222656,271581.4555814556
32,100,100,0.9352,0.1535961627960205,0.002354145050048828,212391.33076767268
32,100,200,0.9532,0.1535961627960205,0.004950046539306641,101009.15133416819
32,200,50,0.9464,0.24803400039672852,0.001920938491821289,260289.4377559886
32,200,100,0.9574,0.24803400039672852,0.002651214599609375,188592.80575539568
32,200,200,0.9672,0.24803400039672852,0.004043102264404297,123667.41361009554
