method,build_time,query_time,recall_at_k,M,efConstruction,efSearch
BruteForce,0.0,0.4474608898162842,1.0,n/a,n/a,n/a
KDTree,0.005040168762207031,0.004637956619262695,0.9788,n/a,n/a,n/a
HNSW,0.03682708740234375,0.001971006393432617,0.9168,8,50,10
HNSW,0.03682708740234375,0.0044977664947509766,0.9686,8,50,100
HNSW,0.03682708740234375,0.01880812644958496,0.9783,8,50,500
HNSW,0.05060410499572754,0.0021011829376220703,0.9474,8,100,10
HNSW,0.05060410499572754,0.0047969818115234375,0.9779,8,100,100
HNSW,0.05060410499572754,0.018385887145996094,0.9785,8,100,500
HNSW,0.07879304885864258,0.0018529891967773438,0.9313,8,200,10
HNSW,0.07879304885864258,0.004673004150390625,0.9732,8,200,100
HNSW,0.07879304885864258,0.020016193389892578,0.9768,8,200,500
HNSW,0.03471803665161133,0.0022978782653808594,0.9382,16,50,10
HNSW,0.03471803665161133,0.004460811614990234,0.9767,16,50,100
HNSW,0.03471803665161133,0.018327951431274414,0.9788,16,50,500
HNSW,0.04718303680419922,0.002244234085083008,0.9356,16,100,10
HNSW,0.04718303680419922,0.004854917526245117,0.9787,16,100,100
HNSW,0.04718303680419922,0.018116235733032227,0.9788,16,100,500
HNSW,0.07360696792602539,0.002318143844604492,0.892,16,200,10
HNSW,0.07360696792602539,0.004581928253173828,0.9748,16,200,100
HNSW,0.07360696792602539,0.01889514923095703,0.9787,16,200,500
HNSW,0.03241395950317383,0.0020248889923095703,0.9159,32,50,10
HNSW,0.03241395950317383,0.004377841949462891,0.9784,32,50,100
HNSW,0.03241395950317383,0.01777505874633789,0.9788,32,50,500
HNSW,0.04593324661254883,0.002009153366088867,0.9201,32,100,10
HNSW,0.04593324661254883,0.004526853561401367,0.9739,32,100,100
HNSW,0.04593324661254883,0.018248796463012695,0.9787,32,100,500
HNSW,0.07441091537475586,0.0022280216217041016,0.9219,32,200,10
HNSW,0.07441091537475586,0.004842996597290039,0.9748,32,200,100
HNSW,0.07441091537475586,0.01824474334716797,0.9788,32,200,500
