method,build_time,query_time,recall_at_k,M,efConstruction,efSearch
BruteForce,0.0,0.3164379596710205,1.0,n/a,n/a,n/a
KDTree,0.09880375862121582,2.0223963260650635,0.9784,n/a,n/a,n/a
HNSW,0.08242249488830566,0.005591630935668945,0.8644,8,50,10
HNSW,0.08242249488830566,0.024887561798095703,0.955,8,50,100
HNSW,0.08242249488830566,0.09430718421936035,0.9725,8,50,500
HNSW,0.13996386528015137,0.005353689193725586,0.8957,8,100,10
HNSW,0.13996386528015137,0.02424311637878418,0.9672,8,100,100
HNSW,0.13996386528015137,0.09087300300598145,0.976,8,100,500
HNSW,0.22482895851135254,0.005803585052490234,0.9117,8,200,10
HNSW,0.22482895851135254,0.02750420570373535,0.9734,8,200,100
HNSW,0.22482895851135254,0.10344529151916504,0.9785,8,200,500
HNSW,0.08486008644104004,0.00641179084777832,0.9111,16,50,10
HNSW,0.08486008644104004,0.02775740623474121,0.9672,16,50,100
HNSW,0.08486008644104004,0.0981287956237793,0.9764,16,50,500
HNSW,0.16044402122497559,0.007811546325683594,0.938,16,100,10
HNSW,0.16044402122497559,0.03439950942993164,0.9736,16,100,100
HNSW,0.16044402122497559,0.1179800033569336,0.9769,16,100,500
HNSW,0.26929187774658203,0.00783848762512207,0.9437,16,200,10
HNSW,0.26929187774658203,0.03487372398376465,0.9752,16,200,100
HNSW,0.26929187774658203,0.1130363941192627,0.9752,16,200,500
HNSW,0.08985114097595215,0.007216215133666992,0.9244,32,50,10
HNSW,0.08985114097595215,0.03229331970214844,0.9672,32,50,100
HNSW,0.08985114097595215,0.11276412010192871,0.9777,32,50,500
HNSW,0.1576383113861084,0.007661104202270508,0.9463,32,100,10
HNSW,0.1576383113861084,0.034424781799316406,0.9753,32,100,100
HNSW,0.1576383113861084,0.11166167259216309,0.9763,32,100,500
HNSW,0.28164076805114746,0.008718013763427734,0.958,32,200,10
HNSW,0.28164076805114746,0.04084920883178711,0.9756,32,200,100
HNSW,0.28164076805114746,0.12702417373657227,0.9768,32,200,500
