M,efConstruction,efSearch,recall@k,build_time_s,query_time_s,qps
8,100,50,0.9748,0.051054954528808594,0.004123210906982422,121264.71608650399
8,100,100,0.9758,0.051054954528808594,0.0023839473724365234,209736.17361736172
8,100,200,0.9764,0.051054954528808594,0.003718852996826172,134450.0576997051
8,200,50,0.9708,0.07721972465515137,0.0018191337585449219,274856.09436435124
8,200,100,0.973,0.07721972465515137,0.002335071563720703,214126.19971411067
8,200,200,0.9754,0.07721972465515137,0.003943920135498047,126777.41506468384
16,100,50,0.9746,0.04584693908691406,0.0016520023345947266,302663.0105354308
16,100,100,0.9772,0.04584693908691406,0.002170085906982422,230405.62513733245
16,100,200,0.9774,0.04584693908691406,0.003991842269897461,125255.4500388222
16,200,50,0.975,0.07108783721923828,0.0016329288482666016,306198.27712074755
16,200,100,0.9768,0.07108783721923828,0.0022389888763427734,223315.08891491854
16,200,200,0.9774,0.07108783721923828,0.004127025604248047,121152.6285384171
32,100,50,0.9756,0.04455971717834473,0.0015799999237060547,316455.7114833258
32,100,100,0.9766,0.04455971717834473,0.0022649765014648438,220752.84210526315
32,100,200,0.9774,0.04455971717834473,0.003709077835083008,134804.39673458893
32,200,50,0.9744,0.07089400291442871,0.001703023910522461,293595.4080918382
32,200,100,0.976,0.07089400291442871,0.002331972122192383,214410.7964420816
32,200,200,0.9774,0.07089400291442871,0.0037391185760498047,133721.35433271696
