M,efConstruction,efSearch,recall@k,build_time_s,query_time_s,qps
8,100,50,0.9476,0.12432599067687988,0.00609588623046875,82022.52816020025
8,100,100,0.9608,0.12432599067687988,0.011161088943481445,44798.49614423344
8,100,200,0.9682,0.12432599067687988,0.019036054611206055,26265.94692083213
8,200,50,0.9578,0.3042020797729492,0.00925898551940918,54001.59649800438
8,200,100,0.9632,0.3042020797729492,0.01310420036315918,38155.70474682969
8,200,200,0.9702,0.3042020797729492,0.02160477638244629,23143.03055718022
16,100,50,0.968,0.18023204803466797,0.009366035461425781,53384.38040932695
16,100,100,0.9692,0.18023204803466797,0.01652383804321289,30259.313767927742
16,100,200,0.9728,0.18023204803466797,0.025996923446655273,19233.045057273084
16,200,50,0.9712,0.32249975204467773,0.01252126693725586,39932.06138847633
16,200,100,0.9734,0.32249975204467773,0.018867969512939453,26499.936819227172
16,200,200,0.9726,0.32249975204467773,0.030420780181884766,16436.133360502845
32,100,50,0.9718,0.2609241008758545,0.011605024337768555,43084.78685156651
32,100,100,0.971,0.2609241008758545,0.0185699462890625,26925.225965488906
32,100,200,0.9782,0.2609241008758545,0.028554916381835938,17510.11956449135
32,200,50,0.9726,0.3206050395965576,0.013076066970825195,38237.79742911842
32,200,100,0.976,0.3206050395965576,0.020859956741333008,23969.368978089675
32,200,200,0.9756,0.3206050395965576,0.03208518028259277,15583.518484116663
