method,build_time,query_time,recall_at_k,M,efConstruction,efSearch
BruteForce,0.0,0.9288170337677002,1.0,n/a,n/a,n/a
KDTree,0.008041143417358398,0.0052340030670166016,0.9749,n/a,n/a,n/a
HNSW,0.07820701599121094,0.04721212387084961,0.8186,8,50,10
HNSW,0.07820701599121094,0.007247209548950195,0.8963,8,50,100
HNSW,0.07820701599121094,0.02138376235961914,0.9105,8,50,500
HNSW,0.11765408515930176,0.003077268600463867,0.8548,8,100,10
HNSW,0.11765408515930176,0.007314920425415039,0.947,8,100,100
HNSW,0.11765408515930176,0.043348073959350586,0.9581,8,100,500
HNSW,0.2572357654571533,0.004064083099365234,0.8252,8,200,10
HNSW,0.2572357654571533,0.006272077560424805,0.9315,8,200,100
HNSW,0.2572357654571533,0.02607417106628418,0.9741,8,200,500
HNSW,0.0812380313873291,0.0026171207427978516,0.7918,16,50,10
HNSW,0.0812380313873291,0.0060176849365234375,0.8846,16,50,100
HNSW,0.0812380313873291,0.02239990234375,0.9185,16,50,500
HNSW,0.10476016998291016,0.002930879592895508,0.7918,16,100,10
HNSW,0.10476016998291016,0.005786895751953125,0.9157,16,100,100
HNSW,0.10476016998291016,0.02077174186706543,0.9399,16,100,500
HNSW,0.1690058708190918,0.002816915512084961,0.851,16,200,10
HNSW,0.1690058708190918,0.005322933197021484,0.9514,16,200,100
HNSW,0.1690058708190918,0.019307851791381836,0.9737,16,200,500
HNSW,0.07032179832458496,0.0030531883239746094,0.8242,32,50,10
HNSW,0.07032179832458496,0.0057811737060546875,0.9245,32,50,100
HNSW,0.07032179832458496,0.019838333129882812,0.9431,32,50,500
HNSW,0.0950930118560791,0.002550840377807617,0.8058,32,100,10
HNSW,0.0950930118560791,0.004551887512207031,0.9266,32,100,100
HNSW,0.0950930118560791,0.02185821533203125,0.9398,32,100,500
HNSW,0.1423327922821045,0.0025572776794433594,0.8364,32,200,10
HNSW,0.1423327922821045,0.00529789924621582,0.9597,32,200,100
HNSW,0.1423327922821045,0.020894765853881836,0.9737,32,200,500
