method,build_time,query_time,recall_at_k,M,efConstruction,efSearch
BruteForce,0.0,1.1640839576721191,1.0,n/a,n/a,n/a
KDTree,0.18981409072875977,6.260045051574707,0.9589,n/a,n/a,n/a
HNSW,0.21095013618469238,0.006704092025756836,0.7567,8,50,10
HNSW,0.21095013618469238,0.0326080322265625,0.9164,8,50,100
HNSW,0.21095013618469238,0.18127107620239258,0.9492,8,50,500
HNSW,0.44979190826416016,0.007005929946899414,0.7893,8,100,10
HNSW,0.44979190826416016,0.03297114372253418,0.9382,8,100,100
HNSW,0.44979190826416016,0.1236867904663086,0.9526,8,100,500
HNSW,0.6847472190856934,0.013707876205444336,0.8075,8,200,10
HNSW,0.6847472190856934,0.04167580604553223,0.9423,8,200,100
HNSW,0.6847472190856934,0.17598581314086914,0.9548,8,200,500
HNSW,0.36475229263305664,0.011692047119140625,0.8594,16,50,10
HNSW,0.36475229263305664,0.05527019500732422,0.9321,16,50,100
HNSW,0.36475229263305664,0.17415690422058105,0.9521,16,50,500
HNSW,0.6859500408172607,0.09031820297241211,0.899,16,100,10
HNSW,0.6859500408172607,0.131072998046875,0.946,16,100,100
HNSW,0.6859500408172607,0.3952298164367676,0.9536,16,100,500
HNSW,1.299159049987793,0.041931867599487305,0.9114,16,200,10
HNSW,1.299159049987793,0.23188495635986328,0.9507,16,200,100
HNSW,1.299159049987793,0.3270277976989746,0.9525,16,200,500
HNSW,0.36968994140625,0.03416180610656738,0.8815,32,50,10
HNSW,0.36968994140625,0.06396007537841797,0.9361,32,50,100
HNSW,0.36968994140625,0.2935001850128174,0.954,32,50,500
HNSW,0.6715641021728516,0.018161773681640625,0.9167,32,100,10
HNSW,0.6715641021728516,0.09076809883117676,0.951,32,100,100
HNSW,0.6715641021728516,0.48813319206237793,0.9547,32,100,500
HNSW,1.8468739986419678,0.020503997802734375,0.9337,32,200,10
HNSW,1.8468739986419678,0.08393096923828125,0.9572,32,200,100
HNSW,1.8468739986419678,0.30531883239746094,0.9599,32,200,500
