M,efConstruction,efSearch,recall@k,build_time_s,query_time_s,qps
8,100,50,0.9338,0.09687399864196777,0.002611875534057617,191433.3181195801
8,100,100,0.942,0.09687399864196777,0.002309083938598633,216536.0867320599
8,100,200,0.9502,0.09687399864196777,0.0038499832153320312,129870.69606143175
8,200,50,0.9388,0.14649009704589844,0.0015978813171386719,312914.35392420174
8,200,100,0.9548,0.14649009704589844,0.0022208690643310547,225137.09071390232
8,200,200,0.9674,0.14649009704589844,0.003993988037109375,125188.15663801337
16,100,50,0.901,0.08694028854370117,0.0016198158264160156,308677.0680011775
16,100,100,0.9084,0.08694028854370117,0.0025899410247802734,193054.58897173894
16,100,200,0.9134,0.08694028854370117,0.004028797149658203,124106.52148183217
16,200,50,0.9604,0.13593387603759766,0.0015921592712402344,314038.9338125187
16,200,100,0.9702,0.13593387603759766,0.0024878978729248047,200972.87973167226
16,200,200,0.974,0.13593387603759766,0.004038095474243164,123820.74747594025
32,100,50,0.9102,0.08429908752441406,0.001821279525756836,274532.2686215473
32,100,100,0.9172,0.08429908752441406,0.0023229122161865234,215247.049163502
32,100,200,0.9182,0.08429908752441406,0.004023075103759766,124283.0389949034
32,200,50,0.9244,0.12975168228149414,0.0016489028930664062,303231.9259687681
32,200,100,0.9368,0.12975168228149414,0.0023000240325927734,217389.03285995647
32,200,200,0.9494,0.12975168228149414,0.004006862640380859,124785.90979412115
