M,efConstruction,efSearch,recall@k,build_time_s,query_time_s,qps
8,100,50,0.9182,0.3058960437774658,0.011001825332641602,45447.00400910174
8,100,100,0.938,0.3058960437774658,0.016742944717407227,29863.325026699895
8,100,200,0.9478,0.3058960437774658,0.0294342041015625,16987.03991705547
8,200,50,0.9314,0.5950889587402344,0.00925898551940918,54001.59649800438
8,200,100,0.948,0.5950889587402344,0.015444040298461914,32374.947898173734
8,200,200,0.9518,0.5950889587402344,0.02785015106201172,17953.223983837277
16,100,50,0.9456,0.41135120391845703,0.012224197387695312,40902.4808862537
16,100,100,0.9518,0.41135120391845703,0.020079851150512695,24900.58298999062
16,100,200,0.9544,0.41135120391845703,0.03334975242614746,14992.615045861066
16,200,50,0.9534,0.7447509765625,0.014165163040161133,35297.864103815664
16,200,100,0.9582,0.7447509765625,0.02406907081604004,20773.54808673343
16,200,200,0.958,0.7447509765625,0.040589094161987305,12318.579912243087
32,100,50,0.9508,0.43010783195495605,0.014552831649780273,34357.57466537787
32,100,100,0.9534,0.43010783195495605,0.025111675262451172,19911.057098911948
32,100,200,0.9568,0.43010783195495605,0.03978991508483887,12565.998166467934
32,200,50,0.9542,0.8168289661407471,0.017928123474121094,27889.14303952338
32,200,100,0.9608,0.8168289661407471,0.029385089874267578,17015.43204868154
32,200,200,0.9624,0.8168289661407471,0.05020284652709961,9959.594616414806
