method,build_time,query_time,recall_at_k,M,efConstruction,efSearch
BruteForce,0.0,35.4370858669281,1.0,n/a,n/a,n/a
KDTree,0.6231989860534668,0.03754687309265137,1.0,n/a,n/a,n/a
HNSW,1.1600966453552246,0.005517244338989258,0.9996,8,50,10
HNSW,1.1600966453552246,0.024075031280517578,1.0,8,50,100
HNSW,1.1600966453552246,0.05806326866149902,1.0,8,50,500
HNSW,1.4912188053131104,0.003690004348754883,0.9997,8,100,10
HNSW,1.4912188053131104,0.01024174690246582,1.0,8,100,100
HNSW,1.4912188053131104,0.03861093521118164,1.0,8,100,500
HNSW,2.6451480388641357,0.0034677982330322266,0.9996,8,200,10
HNSW,2.6451480388641357,0.0073108673095703125,1.0,8,200,100
HNSW,2.6451480388641357,0.028408050537109375,1.0,8,200,500
HNSW,0.7960638999938965,0.003326892852783203,0.9998,16,50,10
HNSW,0.7960638999938965,0.008311986923217773,1.0,16,50,100
HNSW,0.7960638999938965,0.027739286422729492,1.0,16,50,500
HNSW,1.1979730129241943,0.003542661666870117,0.9998,16,100,10
HNSW,1.1979730129241943,0.0071108341217041016,1.0,16,100,100
HNSW,1.1979730129241943,0.02688002586364746,1.0,16,100,500
HNSW,2.2065250873565674,0.0030198097229003906,0.9998,16,200,10
HNSW,2.2065250873565674,0.007436037063598633,1.0,16,200,100
HNSW,2.2065250873565674,0.025976181030273438,1.0,16,200,500
HNSW,0.7451221942901611,0.003185272216796875,0.9998,32,50,10
HNSW,0.7451221942901611,0.007757902145385742,1.0,32,50,100
HNSW,0.7451221942901611,0.026456832885742188,1.0,32,50,500
HNSW,1.1533970832824707,0.002981901168823242,0.9998,32,100,10
HNSW,1.1533970832824707,0.007871150970458984,1.0,32,100,100
HNSW,1.1533970832824707,0.028174161911010742,1.0,32,100,500
HNSW,2.106764793395996,0.003748178482055664,0.9998,32,200,10
HNSW,2.106764793395996,0.007115840911865234,1.0,32,200,100
HNSW,2.106764793395996,0.028977155685424805,1.0,32,200,500
