method,build_time,query_time,recall_at_k,M,efConstruction,efSearch
BruteForce,0.0,10.15825629234314,1.0,n/a,n/a,n/a
KDTree,4.762816667556763,61.84992003440857,0.5236,n/a,n/a,n/a
HNSW,4.748860120773315,0.009766101837158203,0.0642,8,50,10
HNSW,4.748860120773315,0.06254982948303223,0.2445,8,50,100
HNSW,4.748860120773315,0.30199170112609863,0.4834,8,50,500
HNSW,4.748860120773315,0.5905187129974365,0.5937,8,50,1000
HNSW,7.605148792266846,0.010302543640136719,0.0724,8,100,10
HNSW,7.605148792266846,0.06462478637695312,0.2746,8,100,100
HNSW,7.605148792266846,0.303469181060791,0.5154,8,100,500
HNSW,7.605148792266846,0.5958313941955566,0.6254,8,100,1000
HNSW,13.109209537506104,0.011590242385864258,0.0729,8,200,10
HNSW,13.109209537506104,0.06796455383300781,0.2902,8,200,100
HNSW,13.109209537506104,0.311809778213501,0.5492,8,200,500
HNSW,13.109209537506104,0.6156504154205322,0.6611,8,200,1000
HNSW,24.17268657684326,0.011035919189453125,0.0831,8,400,10
HNSW,24.17268657684326,0.07079553604125977,0.3196,8,400,100
HNSW,24.17268657684326,0.3259298801422119,0.5806,8,400,500
HNSW,24.17268657684326,0.6345133781433105,0.6992,8,400,1000
HNSW,12.063704013824463,0.022162914276123047,0.136,16,50,10
HNSW,12.063704013824463,0.14484333992004395,0.3893,16,50,100
HNSW,12.063704013824463,0.6430976390838623,0.6819,16,50,500
HNSW,12.063704013824463,1.1753661632537842,0.7912,16,50,1000
HNSW,19.549793481826782,0.02283191680908203,0.1676,16,100,10
HNSW,19.549793481826782,0.153961181640625,0.4483,16,100,100
HNSW,19.549793481826782,0.674231767654419,0.7279,16,100,500
HNSW,19.549793481826782,1.292327642440796,0.8334,16,100,1000
HNSW,31.49920344352722,0.024918556213378906,0.1948,16,200,10
HNSW,31.49920344352722,0.16001343727111816,0.5116,16,200,100
HNSW,31.49920344352722,0.6949527263641357,0.7621,16,200,500
HNSW,31.49920344352722,1.2534070014953613,0.8632,16,200,1000
HNSW,52.903064250946045,0.025441408157348633,0.2129,16,400,10
HNSW,52.903064250946045,0.1664714813232422,0.5627,16,400,100
HNSW,52.903064250946045,0.7115187644958496,0.8039,16,400,500
HNSW,52.903064250946045,1.3317534923553467,0.8844,16,400,1000
HNSW,27.500823497772217,0.046782493591308594,0.2411,32,50,10
HNSW,27.500823497772217,0.2944324016571045,0.5266,32,50,100
HNSW,27.500823497772217,1.2281479835510254,0.8188,32,50,500
HNSW,27.500823497772217,2.039013147354126,0.9082,32,50,1000
HNSW,51.39772939682007,0.05383563041687012,0.3318,32,100,10
HNSW,51.39772939682007,0.3319203853607178,0.6281,32,100,100
HNSW,51.39772939682007,1.3708219528198242,0.8765,32,100,500
HNSW,51.39772939682007,2.2857179641723633,0.9437,32,100,1000
HNSW,81.72764611244202,0.05337691307067871,0.3987,32,200,10
HNSW,81.72764611244202,0.3459587097167969,0.7095,32,200,100
HNSW,81.72764611244202,1.4217119216918945,0.9055,32,200,500
HNSW,81.72764611244202,2.419748067855835,0.9631,32,200,1000
HNSW,123.46424174308777,0.0572810173034668,0.4766,32,400,10
HNSW,123.46424174308777,0.35810089111328125,0.7819,32,400,100
HNSW,123.46424174308777,1.464402675628662,0.9312,32,400,500
HNSW,123.46424174308777,2.5177948474884033,0.9725,32,400,1000
HNSW,63.30073595046997,0.10377812385559082,0.3944,64,50,10
HNSW,63.30073595046997,0.566718578338623,0.6575,64,50,100
HNSW,63.30073595046997,2.0320467948913574,0.9132,64,50,500
HNSW,63.30073595046997,3.2743515968322754,0.9675,64,50,1000
HNSW,97.66317296028137,0.09735941886901855,0.5186,64,100,10
HNSW,97.66317296028137,0.6030213832855225,0.7487,64,100,100
HNSW,97.66317296028137,2.230572462081909,0.9441,64,100,500
HNSW,97.66317296028137,3.509580612182617,0.9819,64,100,1000
HNSW,162.67797780036926,0.1078023910522461,0.6489,64,200,10
HNSW,162.67797780036926,0.6912035942077637,0.8561,64,200,100
HNSW,162.67797780036926,2.5477259159088135,0.9747,64,200,500
HNSW,162.67797780036926,3.9735958576202393,0.9935,64,200,1000
HNSW,233.53698015213013,0.11693453788757324,0.7267,64,400,10
HNSW,233.53698015213013,0.7300009727478027,0.9095,64,400,100
HNSW,233.53698015213013,2.7565910816192627,0.9845,64,400,500
HNSW,233.53698015213013,4.329806327819824,0.9962,64,400,1000
