method,build_time,query_time,recall_at_k,M,efConstruction,efSearch
BruteForce,0.0,2.67419695854187,1.0,n/a,n/a,n/a
KDTree,0.009958744049072266,0.0038857460021972656,0.9665,n/a,n/a,n/a
HNSW,0.2054755687713623,0.001294851303100586,0.645,8,50,10
HNSW,0.2054755687713623,0.0051038265228271484,0.752,8,50,100
HNSW,0.2054755687713623,0.02539682388305664,0.8292,8,50,500
HNSW,0.35217881202697754,0.0014624595642089844,0.7804,8,100,10
HNSW,0.35217881202697754,0.005389213562011719,0.8973,8,100,100
HNSW,0.35217881202697754,0.02519392967224121,0.9174,8,100,500
HNSW,0.666407585144043,0.001692056655883789,0.7927,8,200,10
HNSW,0.666407585144043,0.005448341369628906,0.9085,8,200,100
HNSW,0.666407585144043,0.025530338287353516,0.9156,8,200,500
HNSW,0.18410444259643555,0.0018329620361328125,0.6199,16,50,10
HNSW,0.18410444259643555,0.005433082580566406,0.7576,16,50,100
HNSW,0.18410444259643555,0.025026321411132812,0.7931,16,50,500
HNSW,0.31536030769348145,0.0015435218811035156,0.6976,16,100,10
HNSW,0.31536030769348145,0.005478620529174805,0.8303,16,100,100
HNSW,0.31536030769348145,0.025466203689575195,0.8536,16,100,500
HNSW,0.6092033386230469,0.0019114017486572266,0.6961,16,200,10
HNSW,0.6092033386230469,0.005701780319213867,0.88,16,200,100
HNSW,0.6092033386230469,0.025665283203125,0.891,16,200,500
HNSW,0.1815488338470459,0.0017855167388916016,0.6528,32,50,10
HNSW,0.1815488338470459,0.005387306213378906,0.7582,32,50,100
HNSW,0.1815488338470459,0.025796890258789062,0.8152,32,50,500
HNSW,0.30629611015319824,0.0019404888153076172,0.74,32,100,10
HNSW,0.30629611015319824,0.00563812255859375,0.8652,32,100,100
HNSW,0.30629611015319824,0.026246070861816406,0.907,32,100,500
HNSW,0.5929286479949951,0.0018224716186523438,0.7744,32,200,10
HNSW,0.5929286479949951,0.005711555480957031,0.8925,32,200,100
HNSW,0.5929286479949951,0.026506423950195312,0.9108,32,200,500
