method,build_time,query_time,recall_at_k,M,efConstruction,efSearch
BruteForce,0.0,4.6529998779296875,1.0,n/a,n/a,n/a
KDTree,1.3709280490875244,27.228098154067993,0.8454,n/a,n/a,n/a
HNSW,1.6981596946716309,0.012765884399414062,0.5724,8,50,10
HNSW,1.6981596946716309,0.05043387413024902,0.7436,8,50,100
HNSW,1.6981596946716309,0.16655206680297852,0.7823,8,50,500
HNSW,2.917907953262329,0.008456945419311523,0.6234,8,100,10
HNSW,2.917907953262329,0.043024301528930664,0.7789,8,100,100
HNSW,2.917907953262329,0.3881409168243408,0.7962,8,100,500
HNSW,4.807919025421143,0.011285066604614258,0.6545,8,200,10
HNSW,4.807919025421143,0.05115795135498047,0.7943,8,200,100
HNSW,4.807919025421143,0.3084099292755127,0.8085,8,200,500
HNSW,2.587038993835449,0.013844013214111328,0.6825,16,50,10
HNSW,2.587038993835449,0.048625946044921875,0.7824,16,50,100
HNSW,2.587038993835449,0.16856813430786133,0.8102,16,50,500
HNSW,4.104237794876099,0.012125968933105469,0.7309,16,100,10
HNSW,4.104237794876099,0.06092405319213867,0.8038,16,100,100
HNSW,4.104237794876099,0.4011220932006836,0.8184,16,100,500
HNSW,7.22037410736084,0.014584064483642578,0.7509,16,200,10
HNSW,7.22037410736084,0.06254196166992188,0.817,16,200,100
HNSW,7.22037410736084,0.26708316802978516,0.8329,16,200,500
HNSW,9.254992008209229,0.01668572425842285,0.6719,32,50,10
HNSW,9.254992008209229,0.05262899398803711,0.7576,32,50,100
HNSW,9.254992008209229,0.19017314910888672,0.7906,32,50,500
HNSW,10.295310020446777,0.017979860305786133,0.7321,32,100,10
HNSW,10.295310020446777,0.0657651424407959,0.7951,32,100,100
HNSW,10.295310020446777,0.22246694564819336,0.8108,32,100,500
HNSW,12.471100807189941,0.01745295524597168,0.7504,32,200,10
HNSW,12.471100807189941,0.0837709903717041,0.7854,32,200,100
HNSW,12.471100807189941,0.4231288433074951,0.8078,32,200,500
