M,efConstruction,efSearch,recall@k,build_time_s,query_time_s,qps
8,100,50,0.8308,0.5325369834899902,0.003500223159790039,142848.0348750085
8,100,100,0.8418,0.5325369834899902,0.0034608840942382812,144471.75530449158
8,100,200,0.8448,0.5325369834899902,0.007157087326049805,69860.82147972951
8,200,50,0.8252,1.0105650424957275,0.0022263526916503906,224582.56585992718
8,200,100,0.848,1.0105650424957275,0.0033321380615234375,150053.80652547223
8,200,200,0.8578,1.0105650424957275,0.006500959396362305,76911.7247955404
16,100,50,0.826,0.5087149143218994,0.0021948814392089844,227802.73734520964
16,100,100,0.8396,0.5087149143218994,0.003017902374267578,165677.99020382366
16,100,200,0.8466,0.5087149143218994,0.0048940181732177734,102165.53807180787
16,200,50,0.857,0.8298859596252441,0.0025510787963867188,195995.51401869158
16,200,100,0.8728,0.8298859596252441,0.0031528472900390625,158586.81185722927
16,200,200,0.877,0.8298859596252441,0.005463123321533203,91522.7371912368
32,100,50,0.7902,0.4843580722808838,0.002301931381225586,217208.9073019161
32,100,100,0.8314,0.4843580722808838,0.003564119338989258,140287.10950565257
32,100,200,0.8502,0.4843580722808838,0.0048639774322509766,102796.52958188324
32,200,50,0.8432,0.8056142330169678,0.002518892288208008,198499.95267392334
32,200,100,0.8574,0.8056142330169678,0.0033957958221435547,147240.89026188303
32,200,200,0.8662,0.8056142330169678,0.005254030227661133,95165.04061351363
