M,efConstruction,efSearch,recall@k,build_time_s,query_time_s,qps
8,100,50,0.7388,2.077936887741089,0.014713764190673828,33981.786952717375
8,100,100,0.7756,2.077936887741089,0.02456188201904297,20356.74626286158
8,100,200,0.7908,2.077936887741089,0.0385589599609375,12967.154728927582
8,200,50,0.739,3.7391622066497803,0.01458883285522461,34272.789671514955
8,200,100,0.7722,3.7391622066497803,0.02477884292602539,20178.50476282113
8,200,200,0.7902,3.7391622066497803,0.04054093360900879,12333.213754329838
16,100,50,0.7694,3.569507122039795,0.01790475845336914,27925.537297930703
16,100,100,0.7922,3.569507122039795,0.03258180618286133,15345.987794347935
16,100,200,0.8016,3.569507122039795,0.05903792381286621,8469.132511923368
16,200,50,0.784,5.8478851318359375,0.019670963287353516,25418.17564783167
16,200,100,0.8054,5.8478851318359375,0.040590763092041016,12318.07342143906
16,200,200,0.8102,5.8478851318359375,0.06117105484008789,8173.800522274623
32,100,50,0.7712,9.285659790039062,0.018047809600830078,27704.192977357394
32,100,100,0.7718,9.285659790039062,0.034837961196899414,14352.160196001943
32,100,200,0.7798,9.285659790039062,0.057813167572021484,8648.548782197735
32,200,50,0.7884,11.31872010231018,0.028020858764648438,17843.84997617589
32,200,100,0.7908,11.31872010231018,0.04627084732055664,10805.940002267176
32,200,200,0.7914,11.31872010231018,0.07465100288391113,6697.8336617599625
